Header	Japanese	Google Translate	Translated	Notes
0	どくにならない⏎⏎どくにたいせいのあるハチミツを⏎なんどもぬり、かわかしてつくられている。	"It is made by coating it with honey, which is known for its poisonous properties, over and over again and boiling it down."	どくにならない⏎⏎どくにたいせいのあるハチミツを⏎なんどもぬり、かわかしてつくられている。	
0	クリティカルがでる⏎⏎まりょくをひめた水晶(すいしょう)が⏎力をあたえてくれる ふしぎなゆびわ。⏎ぼくも16才だし⏎オシャレにも気をつかおう。	"A critical hit occurs ⏎⏎A crystal filled with magic gives you ⏎power.A mysterious wave. ⏎I'm 16 years old too, so be careful about being fashionable."	クリティカルがでる⏎⏎まりょくをひめた水晶(すいしょう)が⏎力をあたえてくれる ふしぎなゆびわ。⏎ぼくも16才だし⏎オシャレにも気をつかおう。	
0	は虫類に強くなる⏎⏎ヘビにまきつかれてる気分。⏎ぼくには、デルトラのベルトがあるから⏎これはえんりょしておこう。	"Becoming stronger against reptiles ⏎⏎Feels like being wrapped around a snake. ⏎I have a Deltora belt, so I'll keep this in mind."	は虫類に強くなる⏎⏎ヘビにまきつかれてる気分。⏎ぼくには、デルトラのベルトがあるから⏎これはえんりょしておこう。	
0	♥+1#0f00たまにこうげきをかわす⏎⏎しぜんの美しさにあふれた首かざり。⏎ジャスミンに、よくにあうんだろうな。⏎ぜったいに 言わないけど。	♥+1#0f00 Sometimes I dodge the attacks⏎⏎A neck ornament full of natural beauty. ⏎I think it would go well with Jasmine. ⏎I won't say it at all.	♥+1#0f00たまにこうげきをかわす⏎⏎しぜんの美しさにあふれた首かざり。⏎ジャスミンに、よくにあうんだろうな。⏎ぜったいに 言わないけど。	
0	影のてきに強くなる⏎⏎つけたからって変身できるわけじゃない。⏎だけど 心はヒーロー。	It becomes stronger as a shadow⏎⏎ Just because you wear it doesn't mean you can transform. ⏎But my heart is a hero.	影のてきに強くなる⏎⏎つけたからって変身できるわけじゃない。⏎だけど 心はヒーロー。	
0	こうげきを当てるとたまにHPかいふくする⏎⏎お金もちのつけるゆびわ。⏎ぴかぴかしてていやみな感じ。	"If you hit a blow, your HP will sometimes increase. ⏎It feels shiny and disgusting."	こうげきを当てるとたまにHPかいふくする⏎⏎お金もちのつけるゆびわ。⏎ぴかぴかしてていやみな感じ。	
0	♥+2⏎⏎まほうがつかえるようになると思ったのに⏎何もおこらなくてがっかりしました。	"♥+2⏎⏎I thought I would be able to use magic, but I was disappointed that nothing happened."	♥+2⏎⏎まほうがつかえるようになると思ったのに⏎何もおこらなくてがっかりしました。	
0	てきがアイテムをおとしやすくなる⏎⏎へんそうにつかうマスク。⏎あたまにカボチャのカスが!⏎じっとがまんだ。	⏎⏎A strangely used mask that makes it easier to remove items. ⏎There's pumpkin crumbs in my head!⏎I just held on.	てきがアイテムをおとしやすくなる⏎⏎へんそうにつかうマスク。⏎あたまにカボチャのカスが!⏎じっとがまんだ。	
0	かじで30回たたいたことになる⏎⏎かじのにがてな人がつける⏎しょしんしゃマーク。⏎つけてるとバカにされるかな?	This means that you have hit the wheel 30 times.⏎⏎This mark is given by people who like the wheel. ⏎Will people make fun of me if I wear it?	かじで30回たたいたことになる⏎⏎かじのにがてな人がつける⏎しょしんしゃマーク。⏎つけてるとバカにされるかな?	
0	ぶきや ぼうぐをつくるのに⏎むいているきんぞく。⏎⏎げんそきごう:Fe	⏎A metal suitable for making weapons and armor. ⏎⏎Element symbol:Fe	"A metal useful for⏎
making weapons and⏎
armor⏎
⏎
Symbol: Fe"	
0	白くかがやく きんぞく。⏎アクセサリーにつかわれる。⏎⏎げんそきごう:Ag	Shining white metal. ⏎Used for accessories. ⏎⏎Element symbol:Ag	"A shiny white metal、⏎
useful for making⏎
accessories⏎
⏎
Symbol: Ag"	
0	黄金色にかがやく きんぞく。⏎⏎⏎げんそきごう:Au	A golden shining metal. ⏎⏎⏎Element symbol: Au	"A shiny golden metal⏎
⏎
Symbol: Au"	
0	とうめいなけっしょう。⏎クリスタル。⏎⏎げんそきごう:SiO2	transparent crystal. ⏎Crystal. ⏎⏎Element symbol: SiO2	"A translucent crystal⏎
⏎
Symbol: SiO2"	
0	イネというしゅるいのしょくぶつ。⏎世界三大こくもつのひとつ。	A plant called rice. ⏎One of the world's three largest komotsu.	"A hearty grain。⏎
It’s one of the most⏎
popular crops in the⏎
world"	
0	ウリというしゅるいのしょくぶつ。⏎つるがくるくると まるまっている。	A type of plant called gourd. ⏎The vines are curled up.	"An orange gourd with⏎
curling green vines"	
0	アオイというしゅるいのしょくぶつ。⏎リゾート気分ただよう じょうねつてきな花。⏎たくさんあったら、首かざりができるかな?	"A slugfish named Aoi. ⏎A beautiful flower that will make you feel like you are in a resort. ⏎If you have a lot, can you make a neck ornament?"	"A beautiful flower。⏎
Maybe if you have⏎
enough you can make⏎
a lei?"	
0	おなかをすかした ぼくらには⏎きのこ1本でも、ごちそうに見える。⏎炭火であぶってさ……あ、よだれ出てきた。	"⏎Even a single mushroom seems like a feast to us when we are hungry. ⏎I roasted it over charcoal...oh, I was drooling."	"Even a single mush-⏎
room is like a feast⏎
if you’re hungry⏎
enough!"	
0	けっこうかたくて、じょうぶ。⏎ぼうけんに役立つ『うろこのナントカ』⏎なんてぼうぐが できあがりそうだ!	It's pretty hard and sturdy. ⏎“Uro no Nantoka” useful for reading ⏎It looks like you’ll be able to make a new book!	"Impressively durable⏎
It might be useable⏎
as armor…"	
0	はねだけむしってとっておく。⏎ふくろの中に入れておいたら⏎くだけて 粉っぽくなってた。⏎食べ物もあったのに……	"Pluck only the splashes and set aside. ⏎When I put it in my bag, it broke down and became powdery. ⏎Even though there was food..."	"The wings of a large⏎
insect。It crumbles⏎
into dust easily"	
0	切れそうで切れない じょうぶな糸。⏎空にうかんだくもを まほうで糸にした⏎なんて話もあるけど、このネバネバは……	"A sturdy thread that seems like it will break but won't. ⏎There is a story that she magically turned spiders in the sky into threads, but this sticky stuff..."	"Surprisingly sturdy⏎
thread。Legend says⏎
it’s made from the⏎
clouds、but then why⏎
is it so sticky?"	
0	とろーりあまーいハチミツ。⏎えいようまんてんで⏎つかれたときにのむと げんきになる。	"Gooey and sweet honey. ⏎Eiyoumanten⏎If you drink it when you're tired, you'll feel better."	"Sweet、gooey、and⏎
full of nutrients
"	
0	青いリンゴはまだあまくない。⏎そのすっぱいのが好きな人もいる。	Green apples aren't very good yet. ⏎Some people like it sour.	"It’s not ripe yet、⏎
but some people like⏎
that sour taste"	
0	きょうふの山の小川に生えるというコケ。⏎とれたてのものは、みどり色をしていて⏎よくきくクスリになるらしい。	"A moss that grows in the streams of Kyofu Mountain. ⏎When freshly harvested, it has a green color and is said to be a good medicine."	"A moss that grows⏎
along the streams of⏎
Dread Mountain。It’s⏎
said to be a good⏎
medicine when fresh"	
0	みどりのコケが古くなって変色したもの。⏎強力などくがあり、さわると⏎やけどのように 火ぶくれしてしまう。⏎ヌメヌメのネバネバ。	"Green moss has become old and discolored. ⏎It has a strong abrasion, and if you touch it, it will blister like a ⏎burn. ⏎ Slimy and sticky."	"Green moss that has⏎
discolored with age。⏎
It slimy and burns⏎
if you touch it"	
0	もえてしまえば 炭になる。⏎そんな炭に使い道はあるのだろうか?	"If it burns, it becomes charcoal. ⏎Is there any use for such charcoal?"	"Something burned and⏎
became charcoal。⏎
Could there be a use⏎
for it somehow?"	
0	⏎『アップルドリンク』のつくり方⏎⏎青リンゴ+ハチミツ	⏎How to make “Apple drink”⏎⏎Green apple + honey	⏎『アップルドリンク』のつくり方⏎⏎青リンゴ+ハチミツ	
0	⏎『パンプキンケーキ』のつくり方⏎⏎かぼちゃ+小麦+ハチミツ	⏎How to make “pumpkin cake”⏎⏎Pumpkin + wheat + honey	⏎『パンプキンケーキ』のつくり方⏎⏎かぼちゃ+小麦+ハチミツ	
0	⏎『マジックブレッド』のつくり方⏎⏎小麦+ハイビスカス	⏎How to make “Magic Bread”⏎⏎Wheat + Hibiscus	⏎『マジックブレッド』のつくり方⏎⏎小麦+ハイビスカス	
0	⏎『かぼちゃスープ』のつくり方⏎⏎かぼちゃ	⏎How to make “pumpkin soup”⏎⏎Pumpkin	⏎『かぼちゃスープ』のつくり方⏎⏎かぼちゃ	
0	⏎『どくけしのくすり』のつくり方⏎⏎みどりのコケ	"⏎How to make ""Dokukeshi no medicine""⏎⏎Green moss"	⏎『どくけしのくすり』のつくり方⏎⏎みどりのコケ	
0	⏎『かいふくのくすり』のつくり方⏎⏎みどりのコケ+ハチミツ	"⏎How to make ""Kaifuku no medicine""⏎⏎Green moss + honey"	⏎『かいふくのくすり』のつくり方⏎⏎みどりのコケ+ハチミツ	
0	⏎『パワーのくすり』のつくり方⏎⏎むらさきのコケ+鉄	⏎How to make “power medicine”⏎⏎Purple moss + iron	⏎『パワーのくすり』のつくり方⏎⏎むらさきのコケ+鉄	
0	⏎『火おこしビーズ』のつくり方⏎⏎くもの糸+炭	⏎How to make “fire starter beads”⏎⏎Spider thread + charcoal	⏎『火おこしビーズ』のつくり方⏎⏎くもの糸+炭	
0	⏎『火ぶくれ弹』のつくり方⏎⏎むらさきのコケ+炭	⏎How to make “Hibukure-ni”⏎⏎Purple moss + charcoal	⏎『火ぶくれ弹』のつくり方⏎⏎むらさきのコケ+炭	
0	⏎『うろこのよろい』のつくり方⏎⏎うろこ+うろこ+くもの糸	"⏎How to make ""scale armor"" ⏎⏎Scales + scales + spider thread"	⏎『うろこのよろい』のつくり方⏎⏎うろこ+うろこ+くもの糸	
0	⏎『かぼちゃマスク』のつくり方⏎⏎かぼちゃ+すいしょう	⏎How to make a “pumpkin mask”⏎⏎Pumpkin + Watermelon	⏎『かぼちゃマスク』のつくり方⏎⏎かぼちゃ+すいしょう	
0	⏎『鉄のよろい』のつくり方⏎⏎鉄+鉄+鉄	"⏎How to make ""iron armor""⏎⏎Iron + Iron + Iron"	⏎『鉄のよろい』のつくり方⏎⏎鉄+鉄+鉄	
0	⏎『かぼちゃぱんつ』のつくり方⏎⏎かぼちゃ+くもの糸+ハイビスカス	⏎How to make “pumpkin pants”⏎⏎Pumpkin + spider thread + hibiscus	⏎『かぼちゃぱんつ』のつくり方⏎⏎かぼちゃ+くもの糸+ハイビスカス	
0	⏎『クリスタルリング』のつくり方⏎⏎すいしょう+金	"⏎How to make a ""crystal ring""⏎⏎Water + gold"	⏎『クリスタルリング』のつくり方⏎⏎すいしょう+金	
0	⏎『シルバーリング』のつくり方⏎⏎銀	⏎How to make a “silver ring”⏎⏎Silver	⏎『シルバーリング』のつくり方⏎⏎銀	
0	⏎『水晶(すいしょう)』のつくり方⏎⏎虫のはね+ハチミツ+青リンゴ	"⏎How to make ""crystal""⏎⏎Insect splash + honey + green apple"	⏎『水晶(すいしょう)』のつくり方⏎⏎虫のはね+ハチミツ+青リンゴ	
0	デルトラの国の王に代々うけつがれている。⏎7つの宝石がはめこまれていて⏎やみをはらう力があると言われている。	It has been passed down from generation to generation to the kings of the country of Deltora. It is said that he is set with ⏎seven jewels and has the power to ward off darkness.	"Passed down through⏎
generations of kings⏎
of Deltora⏎
If set with the 7⏎
Gems、it can defeat⏎
the darkness"	
0	リーフの母、アンナの手づくりのマント。⏎どうした事か、このマントにくるまると⏎すがたをけす事ができる。	"A cloak handmade by Leaf's mother, Anna. ⏎For some reason, when I wrap myself in this cloak, I can ⏎cover myself."	"A cloak handmade by⏎
Lief’s mother、Ana⏎
Covering yourself⏎
with it makes you⏎
invisible"	
0	水くい虫?⏎水を食べる虫でも入っているのだろうか?⏎ただのかんづめのようにも見えるが……	Water bugs? ⏎ Are there any insects that eat water? ⏎ It looks like it's just a water bug...	"Use with care⏎
Scatter Water Eaters⏎
sparingly wherever⏎
land is required"	Using part of the label from the books
0	ふくと光のシャボン玉がでてくるパイプ。⏎これでくらいところもあんしんだ。	A pipe from which soap bubbles of light come out. ⏎I feel safe now.	ふくと光のシャボン玉がでてくるパイプ。⏎これでくらいところもあんしんだ。	
0	けっしてさびないというが⏎本当なんだろうか。⏎だまされているような……	"They say it never rusts, but is that true? ⏎I feel like I'm being tricked..."	けっしてさびないというが⏎本当なんだろうか。⏎だまされているような……	
0	使った後に かってにまき取ってくれる。⏎たまに使ってる時にも まき取る事もある。⏎べんりなんだか ふべんなんだか……	"After using it, it will be rolled up. ⏎Sometimes he also winds it up when he's using it. ⏎It's so nice, so so so so so so so so so so so so such..."	使った後に かってにまき取ってくれる。⏎たまに使ってる時にも まき取る事もある。⏎べんりなんだか ふべんなんだか……	
0	リスメアの町のいんちきルーレットの⏎はずれのけいひん。⏎ジャスミンは気に入っているようだ。	Keihin is on the wrong side of the fake roulette wheel in the town of Lismere. ⏎Jasmine seems to like it.	リスメアの町のいんちきルーレットの⏎はずれのけいひん。⏎ジャスミンは気に入っているようだ。	
0	ゴールがまもっていたユリのミツ。⏎ケガやびょうきをなおすふしぎな力がある。	Yuri Mitsu was guarded by the goal. ⏎It has a mysterious power to heal injuries and injuries.	"Magical lily nectar⏎
with the power to⏎
heal grave injuries。⏎
Gorl guarded it with⏎
his life"	
0	黒く光るナゾの石。⏎ぜんぶで3こあるらしい。⏎そこらにおちてた よくにてる石じゃ⏎だめなのかな……	A mysterious stone that shines black. ⏎There seem to be three in total. ⏎Maybe the common stones that were lying around won't work...	黒く光るナゾの石。⏎ぜんぶで3こあるらしい。⏎そこらにおちてた よくにてる石じゃ⏎だめなのかな……	
0	リスメアの にがおえかきのふで⏎このふでがなくてこまっているらしい。	Rhysmere's bitter drawing lid ⏎It seems that this lid is missing and it's a problem.	リスメアの にがおえかきのふで⏎このふでがなくてこまっているらしい。	
0	水におちてもダメージをうけない⏎⏎指の間にひらひらしているのが水かきだ。⏎ヌルヌルしていて気持ち悪い。	It won't be damaged even if it falls into water ⏎⏎The thing that flutters between your fingers is the web. ⏎It's slimy and disgusting.	水におちてもダメージをうけない⏎⏎指の間にひらひらしているのが水かきだ。⏎ヌルヌルしていて気持ち悪い。	
0	高い所からおちてもダメージをうけない⏎⏎まぼろしの生き物『キン』のはね。⏎体がかるくなるふしぎな力がある。	"Even if you fall from a high place, you won't receive any damage ⏎⏎Splashes of the imaginary creature ""Kin"". ⏎It has a mysterious power that makes your body lighter."	高い所からおちてもダメージをうけない⏎⏎まぼろしの生き物『キン』のはね。⏎体がかるくなるふしぎな力がある。	
0	トゲの地面でもダメージをうけない⏎⏎くつのそこがあつくて、せが低いのを⏎ごまかす事が出来る。	You won't take damage even on thorny ground ⏎⏎You can disguise the fact that your shoes are hot in that area and ⏎are low.	トゲの地面でもダメージをうけない⏎⏎くつのそこがあつくて、せが低いのを⏎ごまかす事が出来る。	
0	どくの地面でもダメージをうけない⏎⏎あまり長い間はいていると足がむれる。⏎でも、どくでたおれるより マシだ。	You won't take damage even on dark ground.⏎⏎Your legs will get stuffy if you wear them for too long. ⏎But he's better than falling down in the mud.	どくの地面でもダメージをうけない⏎⏎あまり長い間はいていると足がむれる。⏎でも、どくでたおれるより マシだ。	
0	ふつうのカギのようだが⏎色々な宝ばこをあける事ができる。	"It looks like an ordinary key, but it can open various treasure chests."	ふつうのカギのようだが⏎色々な宝ばこをあける事ができる。	
0	デルトラのせかいにある⏎名曲をあつめたレコード。	A record that collects famous songs from the world of Deltora.	デルトラのせかいにある⏎名曲をあつめたレコード。	
0	♥♥♥回復⏎一定時間こうげき力UP⏎⏎女王バチのアップルドリンク。⏎何だかとてもおいしいあじがする。	♥♥♥Recovery⏎Increases fighting power for a certain period of time⏎⏎Queen Bee Apple Drink. ⏎It tastes really delicious.	"♥♥♥⏎
+Attack⏎
⏎
Queen Bee apple⏎
cider。It tastes⏎
delicious!"	
0	♥♥♥回復⏎一定時間ふっとばしUP⏎⏎あまいカボチャでつくったケーキ。⏎たべすぎるとおなかがパンパンになるよ。	"♥♥♥Recovery⏎Blows up for a certain period of time⏎⏎Cake made from sweet pumpkin. ⏎If you eat too much, your stomach will become bloated."	♥♥♥回復⏎一定時間ふっとばしUP⏎⏎あまいカボチャでつくったケーキ。⏎たべすぎるとおなかがパンパンになるよ。	
0	♥♥♥回復⏎一定時間水の生物に大ダメージ⏎⏎あつい国でうまれたのみもの。⏎きもちわるいくらい あまいぞ!	♥♥♥Recovery⏎Great damage to water creatures for a certain period of time⏎⏎A gift born in a hot country. ⏎It's so sweet it's disgusting!	"+♥♥♥⏎
+DMG vs water⏎
⏎
Originally from a⏎
tropical country⏎
It’s almost too⏎
sweet to handle!"	
0	♥♥♥回復⏎一定時間てきをきぜつさせる事がある⏎⏎あつあつ!サクサク!⏎リンゴとハチミツのハーモニー。	♥♥♥Recovery⏎May make your body stiff for a certain period of time⏎⏎Hot! Crispy!⏎Harmony of apple and honey.	♥♥♥回復⏎一定時間てきをきぜつさせる事がある⏎⏎あつあつ!サクサク!⏎リンゴとハチミツのハーモニー。	
0	♥♥♥回復⏎バイオリズムUP⏎⏎へんなあじだけど 体にいいらしい。⏎ほんとうにきくのかな?	"♥♥♥Recovery⏎Biorhythm UP⏎⏎It's a strange horse mackerel, but apparently it's good for the body. ⏎Are you really going to listen?"	"♥♥♥⏎
+Biorhythm⏎
⏎
It smells nasty but⏎
it’s supposed to be⏎
good for your health"	
0	♥♥♥回復⏎一定時間たまにこうげきをかわす⏎⏎カチカチに見えるけど 食べられるのかな?	"♥♥♥Recovery⏎Dodge attacks occasionally for a certain period of time⏎⏎It looks crunchy, but can it be eaten?"	♥♥♥回復⏎一定時間たまにこうげきをかわす⏎⏎カチカチに見えるけど 食べられるのかな?	
0	♥♥♥回復⏎一定時間クリティカルがでる⏎⏎はでな色のきのこをやいてみました。⏎どくかもしれないけどおいしそう!	"♥♥♥Recovery ⏎ Critical hit for a certain period of time ⏎⏎ I tried growing a naked mushroom. ⏎It may be a bit stinky, but it looks delicious!"	♥♥♥回復⏎一定時間クリティカルがでる⏎⏎はでな色のきのこをやいてみました。⏎どくかもしれないけどおいしそう!	
0	♥♥♥かいふく⏎一定時間バイオリズムMAX⏎⏎あまいカボチャでつくったスープ。⏎ひやしても あたためてもおいしいよ。	♥♥♥Kaifuku⏎Biorhythm MAX for a certain period of time⏎⏎Soup made with sweet pumpkin. ⏎It's delicious either chilled or warmed up.	♥♥♥かいふく⏎一定時間バイオリズムMAX⏎⏎あまいカボチャでつくったスープ。⏎ひやしても あたためてもおいしいよ。	
0	どくをけす力がある⏎⏎虫さされや へびにかまれたときつかう。⏎おなかをこわしたときは つかえるかな?	It has the power to kick the throat ⏎⏎Used when bitten by insects or snakes. ⏎Can I use it if my stomach hurts?	"Cures poison。Use it⏎
when bitten by a bug⏎
or snake
"	
0	♥♥♥♥♥♥♥かいふく⏎⏎ながいたびに ひつような菜。⏎ひとつあれば あんしんだ!	"♥♥♥♥♥♥♥Kaifuku⏎⏎Every time a long time. ⏎If you have one, you can feel safe!"	♥♥♥♥♥♥♥かいふく⏎⏎ながいたびに ひつような菜。⏎ひとつあれば あんしんだ!	
