ID	Japanese	Google Translate	Translated	Data
"""0c000000"""	バクハツ2	Bakuhatsu 2	バクハツ2	000000003c0d3a0d3b0d3e0d3d0d0000060000000000000010000000100000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""0d000000"""	回復	recovery	回復	00000000870d850d860d880d00000000060000000000000010000000100000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""0e000000"""	かんばん	Kanban	かんばん	00000000e413e213e313e51300000000060000000000000010000000100000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""0f000000"""	ゆり	Yuri	ゆり	00000000a211a011a111a31100000000060000000000000010000000100000000a000000ff000000200000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""10000000"""	ひかり	Hikari	ひかり	000000002d0e2b0e2c0e2f0e2e0e0000060000000000000010000000100000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""11000000"""	じめん	Jimen	じめん	00000000e813e613e713ea13e9130000060000000000000010000000100000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""12000000"""	鳥	bird	鳥	0000000010140e140f1412141114000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""13000000"""	ブーロンの木	boron tree	ブーロンの木	00000000df13dd13de13e113e013000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""14000000"""	砂ぼこり1	dust 1	砂ぼこり1	00000000bc0dba0dbb0dbd0d0000000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""15000000"""	砂ぼこり2	sand dust 2	砂ぼこり2	00000000c00dbe0dbf0dbd0d0000000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""16000000"""	連打アイコン	Repeated hit icon	連打アイコン	0000000092159015911594159315000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""17000000"""	飛び石	stepping stones	飛び石	0000000082138013811383130000000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""18000000"""	沼落ち	Falling into the swamp	沼落ち	00000000ed13eb13ec13ef13ee13000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""19000000"""	マップの点	map point	マップの点	00000000f314f114f214f4140000000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""1a000000"""	ヒットマーク	hit mark	ヒットマーク	00000000e20de00de10de30d0000000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""1b000000"""	毒異	poisonous	毒異	000000009c0d9a0d9b0d9d0d0000000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""1c000000"""	キャンプ	camp	キャンプ	00000000c714c514c614c8140000000006000000000000000a0000000a0000000a000000ff0000002000000020000000000000000000000000000000000000000000000000000000200000002000000000000000f0ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""1d000000"""	しずむカバー	Shizumu cover	しずむカバー	000000003f143d143e1441144014000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""1e000000"""	アイテム	item	アイテム	00000000be0fbc0fbd0fc00fbf0f000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""1f000000"""	ふきだし	speech bubble	ふきだし	000000002c152a152b158a142d15000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""20000000"""	パーティクル	particles	パーティクル	00000000640e620e630e660e650e000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""21000000"""	エフェクトライブラリ	effects library	エフェクトライブラリ	00000000490e470e480e4a0e0000000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""22000000"""	ロープ	rope	ロープ	0000000016141414151417140000000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000000000000000000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""23000000"""	鍛冶	blacksmith	鍛冶	00000000cb14c914ca14cd14cc14000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000000000000000000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""24000000"""	宝箱	treasure chest	宝箱	0000000086138413851387130000000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000010000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""25000000"""	岩	rock	岩	000000000b1409140a140d140c14000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""26000000"""	馬車	carriage	馬車	0000000030142e142f1432143114000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""27000000"""	バルダ剣	barda sword	バルダ剣	00000000220e200e210ee115230e000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000000000000000000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""28000000"""	リーフ剣	leaf sword	リーフ剣	00000000260e240e250e4116270e000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""29000000"""	矢	arrow	矢	00000000f20ef00ef10e3d0ff30e000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""2a000000"""	牢屋ドア	prison door	牢屋ドア	000000000114ff13001403140214000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""2b000000"""	ガラス	glass	ガラス	000000001a14181419141c141b14000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""2c000000"""	タイトルバー	title bar	タイトルバー	000000000915071508150a150000000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""2d000000"""	煙	cigarette	煙	00000000190e170e180e1b0e1a0e000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""2e000000"""	煙2	Smoke 2	煙2	000000001e0e1c0e1d0e1b0e1f0e000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""2f000000"""	宝石	gem	宝石	000000009a13981399138c139b13000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""30000000"""	小物2	Accessories 2	小物2	000000007810761077107a107910000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""31000000"""	宝石2	gem 2	宝石2	000000009a13981399138d139b13000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""32000000"""	宝石3	gem 3	宝石3	000000009a13981399138e139b13000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""33000000"""	宝石4	gem 4	宝石4	000000009a13981399138f139b13000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""34000000"""	宝石5	gem 5	宝石5	000000009a139813991390139b13000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""35000000"""	宝石6	gem 6	宝石6	000000009a139813991391139b13000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""36000000"""	宝石7	gem 7	宝石7	000000009a139813991392139b13000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""37000000"""	看板1	Signboard 1	看板1	000000009e139c139d139f130000000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""38000000"""	看板2	Signboard 2	看板2	00000000a213a013a1139f130000000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""39000000"""	看板3	Signboard 3	看板3	00000000a513a313a4139f130000000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""3a000000"""	しまるとびら	Shimaru door	しまるとびら	000000001f141d141e1420140000000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""3b000000"""	Oファーディープ	O far deep	Oファーディープ	0000000074167216731671160000000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""3c000000"""	船	Boat	船	0000000023142114221424140000000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""3d000000"""	セーブ	save	セーブ	0000000024152215231525150000000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000002000000020000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""3e000000"""	出口	exit	出口	00000000d014ce14cf14d1140000000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000000000000000000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""3f000000"""	カードゲット	get card	カードゲット	00000000bd13bb13bc13bf13be13000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000000000000000000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""40000000"""	宝石D	Jewel D	宝石D	00000000a813a613a71392130000000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000000000000000000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""41000000"""	宝石E	Jewel E	宝石E	00000000ab13a913aa1390130000000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000000000000000000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""42000000"""	宝石L	Jewel L	宝石L	00000000ae13ac13ad138f130000000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000000000000000000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""43000000"""	宝石T	Jewel T	宝石T	00000000b113af13b0138c130000000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000000000000000000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""44000000"""	宝石O	Jewel O	宝石O	00000000b413b213b3138e130000000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000000000000000000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""45000000"""	宝石R	Jewel R	宝石R	00000000b713b513b6138d130000000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000000000000000000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""46000000"""	宝石A	Gem A	宝石A	00000000ba13b813b91391130000000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000000000000000000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""47000000"""	地面2	Ground 2	地面2	0000000006140414051408140714000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000000000000000000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""48000000"""	おんぷ	Onpu	おんぷ	000000005f0e5d0e5e0e610e600e000006000000000000000a0000000a0000000a000000ff000000200000002000000000000000000000000000000000000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""49000000"""	ひかり2	Hikari 2	ひかり2	000000002d0e2b0e2c0e350e2e0e0000060000000000000010000000100000000a000000ff000000200000002000000000000000000000000000000000000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""4a000000"""	きのこ	mushroom	きのこ	00000000821080108110831000000000060000000000000010000000100000000a000000ff000000200000002000000000000000000000000000000000000000000000000000000020000000200000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""4b000000"""	たべもの	food	たべもの	000000004e104c104d1050104f100000060000000000000010000000100000000a000000ff000000200000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""4c000000"""	たべもの悪	evil of food	たべもの悪	000000004e104c104d1056104f100000060000000000000010000000100000000a000000ff000000200000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""4d000000"""	たべもの2	food 2	たべもの2	00000000531051105210551054100000060000000000000010000000100000000a000000ff000000200000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""4e000000"""	たべもの2悪	food 2 evil	たべもの2悪	00000000531051105210571054100000060000000000000010000000100000000a000000ff000000200000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""4f000000"""	ルーミンカバー	lumin cover	ルーミンカバー	00000000441442144314411445140000060000000000000010000000100000000a000000ff000000200000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""50000000"""	ボウガン矢	bowgun arrow	ボウガン矢	00000000f90ef70ef80e460ffa0e0000060000000000000010000000100000000a000000ff000000200000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""51000000"""	地図	map	地図	000000007d107b107c107f107e100000060000000000000010000000100000000a000000ff000000200000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"""52000000"""	とうめいOBJ	Tomei OBJ	とうめいOBJ	000000006b1669166a168a1400000000060000000000000010000000100000000a000000ff000000200000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
