Header	Japanese	Google Translate	Translated	Notes	
28010001	こうして めでたく 影の大王を⏎おいはらう事ができた	"In this way, we were happily able to drive away the Great King of Shadows."	"and together they⏎
drove the Enemy from⏎
their land"		
41810118	……デルトラのベルトの事だよな	...It's about Deltora's belt.	The Belt of Deltora…		
42810118	こんなに すごい⏎ベルトだったなんて!	It was such an amazing⏎belt!	Incredible!	Jumps back up to row 9 after.	
43810118	……へんだな⏸王様がベルトを つけるのは⏎とくべつな ぎしきのときだけ⏸それが おきてのはずだ……	...That's strange⏸The king only wears a belt⏎only in special situations⏸That's what should happen...	"How strange…⏸
The Rule says that the⏎
belt should only be⏸
worn on special⏎
occasions"	Jumps back up to row 13 after	
42810118	そうだったのか!	Was that so?	What?!		
41810118	でも、これじゃあ、影の大王が⏎あらわれたら この国は……	"But, if this is the case, if the Great King of Shadows appears, this country will..."	"But、if the Shadow⏎
Lord reappears、⏸
Deltora will-"	Dramatic lightning cuts off Jarred’s sentence.	
43810118	ずっと へんだと思っていた⏸国の大切な事は、みんな⏎大臣たちがきめてしまう⏸王様は 毎日 あそんで⏎くらしている……	I always thought it was strange that all the important matters in the country are decided by the ministers.The king spends his life playing around every day...	"It’s always seemed⏎
strange to me…⏸
The advisors make⏎
all the decisions⏸
The king just kinda⏎
goofs off…"		
41810118	王様って それじゃあ⏎ダメなんじゃないかな?⏸エンドンは この ベルトのれきしを⏎知っているのかな……	"I guess that's no good for being a king, right? I wonder if Endon knows about this belt..."	"It doesn’t seem right⏎
for a king!⏸
Hm、I wonder if Endon⏎
knows this history…"		
43810118	今日は 親友のエンドンが⏎王様になる日だ⏸つまり、ベルトを⏎こしに まくんだよな……	"Today is the day my best friend Endon becomes king, which means he's going to wrap his belt around him..."	"Today my best friend⏎
Endon will become king⏸
So he’ll put on⏎
the belt"	Jarred leaves the book and runs to the middle of the room before this line.	
41810118	よし ぼくが 教えてやろう。⏎ベルトを はなすな……⏸それが 王様の つとめだって	"Okay, I'll teach you. ⏎Don't let go of your belt...⏸That's his duty as a king."	"I’ve gotta tell him!⏸
Wearing the belt is⏎
the king’s duty!"	Hop	
42810118	ぎしきが どうなっても⏎しるもんか!	"No matter what happens to Gishiki, I'll do it!"	"I’ve gotta get to⏎
that ceremony!"		
28010900	王様は ついこのあいだまで⏎とてもお元気だったのにねえ……	The king was doing very well until recently...	"I don’t understand…⏸
The king was always⏎
so strong and healthy…"	Woman on the second screen from the library.	
28010700	王様が こんなに はやくに⏎おなくなりになるとは……⏸あとつぎの エンドン様は⏎まだ 子どもだというのに……	"I didn't expect the king to disappear so quickly...even though the next one, Lord Endon, was still a child..."	"The king died so⏎
suddenly…⏸
And Prince Endon is⏎
still just a child…"	First guard outside the library.	
28010600	やあ、ジャード⏸おさななじみの エンドン様が⏎ついに 王様に おなりだ⏸どんなきぶんだい?	"Hello, Jard⏸Our familiar Lord Endon has finally become king⏸What kind of situation is he in?"	"Oh、hello、Jarred!⏸
So Endon is finally⏎
going to be king!⏸
That’s a lot of⏎
pressure、huh?"	Second guard encountered.	
28010800	エンドン様は ちょっと⏎たよりないけど だいじょうぶかしら?⏸あら、ジャードだったの。⏎今のは きかなかった事にしてね!	"Endon-sama is a bit ⏎not so good, but is he okay?⏸Oh, it was Jard. ⏎Just pretend he didn't listen!"	"Endon is so young…⏸
Is he really ready to⏎
be our King?⏸
Oh、Jarred!⏸
Um、you didn’t⏎
hear that、right?"	Second woman encountered.	
42810118	エンドン!	Endon!	Endon!		
42810118	とおしてください!	Please pass through!	Hey! Over here!	Yelling through the crowd.	
42810118	エンドン、大事な話が⏎あるんだ!	"Endon, I have something important to tell you!"	"I need to tell you⏎
something important!"	Jarred trips and falls on his face after this line.	
42810118	エンドン!	Endon!	Endon!		
49810370	……	……	……		
21810b24	しずかに!	Quietly!	Silence!		
21810b24	わたしは 主席大臣のプランディン⏸これより われらの新しい王を⏎おむかえする ぎしきを とりおこなう	"I am Prandin, Chief Minister, and from now on, I will prepare to welcome our new king."	"I、Chief Advisor⏎
Prandine、will now⏸
begin the coronation⏎
ceremony!"		
28010600	主席大臣て何?	What is a chief minister?	Hey、who’s that kid?	I'm pretty sure these two lines are intended to help define the difference between a “chief advisor” and just an “advisor” for young Japanese readers who might not be familiar with the kanji or terms. 主席 (“main+chair” -> “chairman” -> “chief”)	
28010700	一番えらい大臣て事さ	He's the greatest minister.	"Shh! That’s Jarred…⏎
the Prince’s friend"	"It sounds pretty silly to clarify it in English, so we can repurpose them."	
41810118	(デルトラのベルトだ……)	(It's Deltora's belt...)	(The Belt of Deltora…)		
21810b24	このベルトを エンドン様の⏎こしにつけ……⏸ベルトが エンドン様を 王と⏎みとめれば……わが王国は あんたい……	Put this belt on Endon-sama's ⏎string... If the belt recognizes Endon-sama as king... my kingdom will be yours...	"Put on the Belt、⏎
Prince Endon⏸
Once it recognizes⏎
you as the heir、⏸
you will become the⏎
new king of Deltora!"		
21810b24	エンドン様、よいですかな?	"Mr. Endon, are you okay?"	"Are you ready、⏎
Prince Endon?"		
49810370	うん。⏎いや、よろしい。はじめなさい	"Yeah. ⏎No, that's fine. Get started"	I am ready	"Endon is trying to keep up an appearance of strength despite his father’s death.
He puts on the belt and we get a big two-screen shiny effect. The crowd gasps."	
42810118	(これが……これがベルトの力!?)	(This… this is the power of the belt!?)	(Whoa! The Belt!)	Changing this so Jarred seems less incredulous 	
21810b24	おお、われらが王 エンドン様!⏎ベルトが 王位を みとめましたぞ!	"Oh, our king Endon! ⏎The belt has acknowledged your throne!"	"All hail King Endon!⏎
The throne is yours!"		
4a810370	ご苦労だった、プランディン⏸おきてどおり、ベルトを⏎げんじゅうに ほかんしておいてくれ	"Thank you for your hard work, Prandin.As I was told, please keep your belt safe."	"Thank you、Prandine⏸
You can put the belt⏎
back in storage now"		
42810118	エンドン、ちがうぞ!⏸ベルトは ずっと きみの⏎こしに まいておくんだ!⏸それが 本当の⏎おきてなんだ!	"Endon, that's wrong! ⏸Keep your belt on your ⏎bag all the time!⏸That's the real ⏎law!"	"Wait、Endon!⏸
Always wear the belt!⏎
That’s the real Rule!"		
21810b24	たわごとを言うではない!	Don't give a shit!	Insolent child!	"Yeah, not quite, Google."	
49810370	ジャード……	Jard...	Jarred…		
21810b24	王様! いいですな	King! That's good.	"Show some respect for⏎
your king!"		
49810370	ジャード……大臣のいうとおりだ	Jard...the minister is right.	"Jarred…⏎
Prandine is right"		
42810118	(なんだよ、エンドン!)⏸(キミもプランディンの⏎言いなりになるのか!?)	"(What is it, Endon!) ⏸ (Are you going to follow Prandin's ⏎ command too!?)"	"(What’s going on?)⏸
(Think for yourself、⏎
Endon!)"		
43810118	エンドン……かわっちゃったな⏸このあいだまで いっしょに⏎あそんでいたのに……⏸そういえば 今日は たての⏎つくりかたを 教えてくれるって……	"Endon... you've changed ⏸ We were playing ⏎ together the other day... ⏸ Come to think of it, today you're going to teach us how to make fresh ⏎..."	"Endon…⏎
You’ve changed⏸
We were always best⏎
friends…⏸
You still owe me that⏎
smithing lesson…"		
49030370	ジャード。⏎次は きみが やってみてよ	"Jard. ⏎Next time, she should try it."	"Here、why don’t you⏎
give it a shot、Jarred?"		
41810118	ぼくが!?	Me!?	Me!?		
49030370	初代アディン王から ひきつがれた⏎かじの ぎじゅつ⏸もう、なんども 教えただろう?	"The ⏎Kajijyutsutsu⏎ that was inherited from the first King Adin⏸I have already taught you many times, haven't I?"	"I’ve taught you so much⏎
of what I know⏸
I’m sure you’re up to⏎
the task!"		
43810118	うーん、きみには かなわないよ	"Well, I can't compete with you."	"There’s no way I could⏎
make one like you…"		
4a030370	いいからいいから!	"It's okay, it's okay!"	"Hah、don’t sweat it!⏎
Just do your best!"		
4a810370	なかなか うまいじゃないか⏸よし、次は たての⏎つくりかたを 教えてあげるよ	"It's pretty good, isn't it?Okay, next time I'll show you how to make it freshly."	"Not bad!⏸
Okay、let’s try making⏎
a dagger next"	"I think “freshly” is referring to a style of sword. Something about “disobedient”, which is literally derived from “stab-shield”?Dagger sounds like a decent fit.
Flashback…"	
41030118	うん、わかった	"Yeah, I understand."	Whew! Okay!		
21030b24	エンドン王子。⏎王様が およびです	Prince Endon. ⏎The king is he and	"Prince Endon、the King⏎
needs to see you"		
49810370	でも……	but……	But…		
21030b24	王子。王様は ご病気です。⏎大切な お話かと……	prince. The king is sick. ⏎I think the important person is a story...	"My Prince、the King⏎
is very sick⏸
This… is important"		
41030118	行けよ、エンドン	"Go, Endon."	Go ahead、Endon		
49810370	……うん	……Yeah	"…⏸
…Right"		
4a810370	じゃあ、かじの練習を⏎しておくんだぞ	"Well then, let's practice playing the rudder."	"We can continue later。⏎
Practice、Jarred!"		
41030118	はいはい、王子様!	"Yes, yes, prince!"	Yes、my prince!		
43810118	楽しかった 子ども時代は⏎おわったって事か……	My fun childhood is ⏎ over...	"I miss those times…⏸
I… I guess it’s⏎
time to move on"		
41810118	いや、父上を なくしたばかりだし⏎さっきは大臣もいたし……	"No, I just lost my father, and the minister was there just now..."	"Wait… Endon just lost⏎
his father⏸
And Prandine was was⏎
there…"		
41810118	なにより、王になる ぎしきの⏎さいちゅうだったし……	"Above all, it was a great opportunity to become king..."	"And the pressure⏎
of the ceremony…"		
41810118	しっぱい、しっぱい!	"So much, so much!"	"Of course he couldn’t⏎
really listen!"		
41810118	ふたりきりなら これまでと⏎同じ エンドンのはずだ	"If it's just the two of us, it should be the same endon as before."	"I need to talk to him⏎
alone、then he’ll see!"	"The player gets control for a moment, just to leave the room."	
41030118	エンドン、待って!	"Endon, wait!"	Endon、wait!		
49810370	ジャード……さっきはごめん	Jard... I'm sorry about earlier.	"Jarred… I’m sorry⏎
about earlier"		
41030118	いいんだ。⏎それより、ベルトは?	It's okay. ⏎What about the belt?	"It’s okay、Endon。⏎
Where's the Belt?"		
49810370	大切に しまってあるはずだけど……	"I should have kept it safe, but..."	"I’m sure it’s safe in⏎
storage now"		
41030118	あれは ずっと みにつけているんだ。⏎それが王様のつとめだぞ	I've been looking at that one for a long time. ⏎That's the king's duty.	"You should wear⏎
the belt always!⏸
As the ancient kings⏎
and queens did!"		
49810370	そんな話は きいた事がない⏸おきてに反する事は ぼくには⏎できないよ	I've never heard of such a thing.I can't do anything that goes against the law.	"I’ve never heard of⏎
such a thing⏸
You know I can’t⏎
break the Rule"		
42030118	おきてなんて!⏸そんなの、大臣たちが⏎かってに きめた事だ!	What's going on? That's what the ministers decided on their own!	"Wake up、Endon!⏸
The Rule is just⏎
traditions made into⏸
laws by the advisors!"		
49810370	ジャード?⏎いったい 何を言ってるんだ?	Jard?⏎What on earth are you talking about?	"What in the world⏎
are you talking about?"		
42030118	あのベルトは この国を守る⏎大切なベルトなんだ	That belt protects this country⏎It's an important belt.	"The belt is what⏎
keeps Deltora safe!"	Jarred grabs Endon by the hand.	
49810370	守る? だれから?	Protect it? From whom?	"Safe?⏎
Safe from what?"		
42030118	影の大王だ	He is the great king of shadows.	"The Enemy! The Lord of⏎
Shadows!"		
41030118	さあ、ベルトのところへ行こう!	Now let's go to the belt!	"Now c’mon、let’s⏎
go get the belt!"		
4b810370	やめてくれ!⏎ぼくは おきてに したがうんだ!	Stop it!⏎I follow the commandments!	"No! I must always obey⏎
the Rule!"	Endon break away from Jarred’s grip.	
28010b74	さよう、だまされてはいけませぬぞ	"Goodbye, don't let yourself be fooled."	"My king! Do not be⏎
fooled by this traitor!"	"Prandine, offscreen"	
21030b24	この、うらぎり者め!	You traitor!	"He has always been⏎
jealous of you!⏸
And now he seeks to⏎
destroy you!"	Prandine walks in.	
42030118	エンドン! ぼくを信じてくれ!	Endon! Trust me!	"No、Endon!⏎
Believe me!"	"Before this line, Jarred tries to approach Endon, but he backs away and looks to Prandine."	
21030b24	あぶない!⏎剣をぬくつもりですぞ!	Dangerous!⏎I'm going to draw my sword!	"Beware、your majesty!⏎
He has a knife!"	Prandine jumps between them.	
21030b24	だれか! 兵はおらぬか!	Who is this? There are no soldiers!	"Murderer! Traitor!⏸
Guards! Guards!"	"Guards run in; Prandine leaves. Endon hesitates, but Prandine comes back and says something that gets him to leave."	
0	えいへいバトル⏎⏎えいへいに近づいて タッチすると⏎こうげきするぞ!	"Eihei Battle ⏎⏎If you approach the Eihei and touch it, ⏎ it will attack!"	"Fight the guards!⏎
⏎
Move near the guards⏎
and tap to attack!"	Tutorial!	
42810118	エンドン! エンドン!	Endon! Endon!	Endon! Endon!	More guards show up and Jarred runs away.	
43810118	(エンドン……キミはまちがっている……)⏸(なんとかして エンドンを⏎プランディンから 引きはなさないと……)	(Endon...you're wrong...)⏸(We have to somehow separate Endon from ⏎Prandin...)	"(Endon、why don’t⏎
you trust me?)⏸
(I need to save you⏎
from Prandine!)"	"Jarred is on a tree branch outside, looking down on a couple of guards."	
41810118	(そうだ……)	(That's right...)	(Hmm…)		
41810118	(この木なら、エンドンの部屋から⏎見えるはず……)	(This tree should be visible from Endon's room...)	"(Endon can see this⏎
tree from his room…)"	Jumps to row 115 for instructions on note writing.	
41810118	(気づいてくれよ、エンドン!)	"(Please notice, Endon!)"	"(Please notice、⏎
Endon!)"		
43810118	(ぼくは なんとかして 生きのびる。⏎キミを まもるための 力を……)	(I will survive somehow. ⏎The power to protect you...)	"(I can’t help Endon⏎
if I'm dead)"		
42810118	(そう、ちえと 力を⏎身につけないと!)	"(That's right, Chieto, I need to learn the power!)"	"(I need to get⏎
out of here)⏸
(I’ll be waiting⏎
for you、Endon!)"	Jumps to row 116 for instructions on cart jump mini game.	
41030118	……な、なんだ、これは。⏎これがデルの町!?	"...What, what is this? ⏎This is Del’s town!?"	Is this… Del?	Jarred looks around the dirty streets.	
43030118	城(しろ)からは あんなに美しく⏎見えていたのに……	It looked so beautiful⏎ from the castle...	"But… how?⏸
It looked so beautiful⏎
from the palace"	"After this, Jarred looks behind him, jumps, and runs to hide behind a wall."	
28010600	どこへ行った!?	Where did you go!?	Where did he go!?	Guard 1	
28010700	あっちだ!	Over there!	Over there!	"Guard 2 enters, but hears something behind him and they both leave."	
42030118	(とにかく今は にげなくちゃ!)	"(Anyway, I have to run away for now!)"	"I’ve gotta get⏎
out of here!"	Player gets control after this.	
0	エンドンにきけんを知らせろ!⏎⏎エンドンに手紙を書いて⏎きけんを知らせるんだ!!⏎⏎書き直しはできないよ!	Tell Endon about the crisis!⏎⏎Write a letter to Endon and tell him about the crisis!⏎⏎You can't rewrite it!	"Write a note for⏎
Endon warning him⏎
about the danger⏎
he’s in!⏎
⏎
There’s no eraser!"	Jumps back up to row 107 after.	
0	馬車にとびおりろ!⏎⏎ゴミを捨てに行く馬車に⏎タイミングよくとびおりるんだ!⏎⏎下画面タッチでとびおります	Jump on the carriage! ⏎⏎Jump on the carriage going to throw away the trash ⏎Jump at the right time! ⏎⏎Touch the bottom screen to jump off	"Jump onto the⏎
rubbish cart!⏎
⏎
Wait for the right⏎
time and tap the⏎
screen to jump!"	Jumps back to 110 after fading to black and back.	
28010600	城から 来たんじゃないだろうな?⏎だとしたら タダじゃ すまさんぞ	"It didn't come from the castle, right?⏎If that's the case, it's free, sorry."	"Did you come from the⏎
palace?⏸
What are you doing⏎
here?"	Beggar on top left screen of Del	
28010700	城のやつら……⏎うまい物 食べてるんだろうなあ	The guys in the castle...⏎I guess they're eating delicious food.	"I bet they have plenty⏎
to eat in the palace…"	Man on lower left screen of Del	
28010600	仕事がない……金がない……⏎食い物もない……	No job...no money...⏎no food...	"No job… No money…⏎
No food…"	Person on upper right screen of Del	
28010700	ふん……なんだおまえ。⏎きれいな服を きやがってよ	Hmm...what are you? ⏎Give her beautiful clothes	"Who… are you?⏎
Such clean clothes…"	Person at exit from Del	
28010800	言ってもしかたがないけど……⏎言わずにはいられない……⏸この町は どうしようもないわ	I can't help but say it...⏎I can't help but say it...⏸There's nothing we can do about this town.	"There’s no hope…⏎
No future…⏸
This town is doomed…"	Woman on right middle screen of Del	
28010900	夫が何をしたって言うのよ!⏎どうして つれていかれたのよ!	What did my husband do? ⏎Why did he take me away?	"They took my husband!⏎
He didn't do anything!"	Woman on lower left screen of Del	
28010700	お若いの……⏎早く町を出るんじゃ⏸ここでは しあわせも 希望も⏎見つからんぞ……	You are young... ⏎You should leave town soon⏸You won't find happiness or hope here...	"You’re still young⏸
You should get out⏎
of Del while you can⏸
There’s no hope⏎
or happiness here…"	Old man on top left screen of Del	
28010700	王から 手紙の返事が きたぞ⏸見なくても 何が書いてあるのか⏎わかっているけどな	I got a reply to the letter from the king⏸I know what it says even if I don't look at it⏎	"I sent a letter to the⏎
King asking for help⏸
I got a reply back、but⏎
I don’t even need to⏸
read it to know what⏎
it says"	Old man on bottom middle screen of Del	
28010800	おにいちゃん、食べる物 もってない?	"Big brother, don't you have anything to eat?"	"Hey mister、can you⏎
spare some food?"	Woman on bottom middle screen of Del	
28010900	ひもじいよ……	It's old man...	So… hungry…	Man on middle screen on Del	
41030118	す、すみません。⏎とつぜん おじゃまして	I-I'm sorry. ⏎Sorry to interrupt you suddenly	"Sorry to barge in、⏎
but I need help!"		
43030118	兵に おわれているんです	It's surrounded by soldiers.	Soldiers are after me!		
2503072c	おくの部屋へ行け	Go to Oku's room.	Get in the back room		
43030118	おわれていると言っても⏎悪い事をしたわけじゃなくて……	"Even though I say I'm depressed, it doesn't mean I did anything wrong..."	"I swear I’m innocent…⏎
But the guards…"		
2503072c	おくへ行けと言っただろう?	"I told you to go away, right?"	"I said、get⏎
in the back room"		
2503072c	おくへ行けと言っただろう?	"I told you to go away, right?"	"I said、get⏎
in the back room"	Shown when the player talks to Crian	
41030118	や、やあ	"Hey, hey"	Oh! Hello!	Jarred sees Ana	
2481031c	……こんにちは	……Hello	…Hello		
43030118	とつぜん、ごめん……	"Suddenly, I'm sorry..."	Sorry to surprise you!		
2481031c	……	……	…		
41030118	ここは……かじ屋さんかな	Is this place...a blacksmith shop?	"What is this place? A⏎
Blacksmith’s shop?"	Am I missing a joke here?	
2481031c	見ればわかるでしょ?⏸わたしは アンナ。⏎クリアンおじいさんの まごむすめ	"You can see it, right?⏸My name is Anna. ⏎Grandpa Kurian's Magomusume"	"Well、isn’t that⏎
obvious、silly?⏸
I’m Anna… Crian out⏎
front is my grandpa"		
41030118	まご?⏎ええと、きみの ご両親は?	"Mago?⏎Um, who are your parents?"	"Grandpa? Where are⏎
your parents?"		
2481031c	影の憲兵(けんぺい)たちに 殺されたわ	I was killed by the shadow military police.	"…They were killed by⏎
Grey Guards"		
43030118	影の……憲兵?	Shadow...military police?	…Grey Guards?	Jarred is clearly unfamiliar with the term	
2481031c	あなたのせいで おじいさんに⏎なにかあったら……	If something happens to your grandfather because of you...	"If something happens to⏎
Grandpa because of you-"		
42030118	そ、そんな事には ならないよ。⏎ぼくは すぐに 出て行くから	"Well, that won't happen. ⏎I'll leave right away"	"Hey、don’t worry! I’ll⏎
be leaving soon!"		
43030118	すぐに出て行きます⏸でも、兵士が来ても ぼくが⏎ここにいたと 言わないでください⏸やつらは ぼくが 新しい王を⏎殺そうとしたと言うでしょう	"I'll leave soon⏸ but when the soldiers come, don't tell them I was ⏎here⏸They'll say I tried to ⏎kill the new king."	"Thank you、I’ll be⏎
on my way soon⏸
But I beg you not⏎
to tell the guards⏸
They think I tried to⏎
kill the new King!"	Crian enters the room and Jarred talks to him.	
42030118	でも、それはウソです!	But that's a lie!	But that’s a lie!		
2503072c	ふん。王を殺せば おまえは⏎国の えいゆうになれるぞ	"Hmm. If you kill the king, you will become the king of the country."	"Many in Del would⏎
thank you if you had"		
41030118	えっ?	Huh?	What do you mean?		
2503072c	国民が こんなに みじめな⏎くらしをしているのに……⏸城の中で ぬくぬくと くらしている⏎王なんぞ いなくなればいいのさ	Even though the people are living such a miserable life... there should be no king living snugly in his castle.	"The people of Del live⏎
this miserable life⏸
While the King is snug⏎
in the palace⏸
Is it any wonder?"		
43030118	そんな……	Like that...	"But that’s not…⏸
…"		
2503072c	ふん。⏎すばらしい 王だとでも?	Hmm. ⏎Are you saying he's a wonderful king?	"Hmm…⏎
You think differently?"		
41030118	あの……お話を……	Um...tell me a story...	"Um…⏎
You see…"		
2503072c	……	……	…		
43030118	……おねがいします⏸ぼくは城の中で育ちました。⏎だから、町の事は何も知りません⏸城から見ると 町は とても⏎きれいなんです⏸それなのに こんな……⏎いったい何がおこっているのか……	"...Please⏸I grew up in a castle. ⏎That's why I don't know anything about the town⏸Seen from the castle, the town is very ⏎beautiful⏸And yet...⏎I wonder what's going on..."	"I grew up in the⏎
palace。 I never knew⏸
what life was like⏎
in the town。⏸
From the castle、the⏎
town looks beautiful⏸
But now I see…⏎
How can this be?"		
2503072c	話なら、いくらでもきかせてやる⏸しかし、はたらかざる者 食うべからず。⏎おまえは仕事をてつだえるか?	"If you have a story, I'll listen to it as much as I want⏸But those who don't work don't eat. ⏎Can you handle the job?"	"You can stay here while⏎
you figure it out。⏸
But those who don’t⏎
work、don't eat。⏸
Think you can⏎
help out here?"		
41030118	かじの仕事なら……すこし	If it's a rudder's job...a little bit.	"With blacksmithing?⏎
Yeah、a little"		
2481031c	すぐに 出て行くって いったのに!	I said I would leave right away!	"Can you please get out⏎
of my room!?"	This seems to be a joke?	
43030118	ご、ごめん!	Sorry!	Sorry!		
0	エンドン。⏎町は ずっとむかしから、こんなに⏎ひどい事に なっていたそうだ。⏎⏎国民は王様に手紙を書いた。⏎むかしから なんども なんども。⏎でも 返事は いつも同じ。	"Endon. ⏎The town says he's been in something this ⏎terrible ever since a long time ago. ⏎⏎The people wrote a letter to the king. ⏎Once upon a time, he did it again and again. ⏎But his answer is always the same."	"Endon。⏎
I know now that Del⏎
has been suffering⏎
for a long time。⏎
For ages、the people⏎
have written to the⏎
King for help。⏎
But the reply is⏎
always the same…"		
0	今の ぼくには わかる。⏎手紙は王には とどかない。⏎⏎大臣が かってに 返事を⏎書いているんだ。⏎そのばを やりすごすだけの⏎てきとうな 返事をね。	I understand now. ⏎The letter will not reach the king. ⏎⏎The minister has written ⏎a reply to him. ⏎Please give me a proper reply just to get through it.	"The letters never reach⏎
the Kings。 The advisors⏎
write the responses:⏎
⏎
「The King thanks you for⏎
your message。He will⏎
attend to your request⏎
when time allows」"	Direct quote from the book in English	
0	とても ざんねんな事だけど⏎国民は 王と城の中の人たちを⏎にくんでいる……	"It's a very strange thing, but the ⏎people are keeping the king and the people in the castle in ⏎..."	"The people of Del⏎
detest the King and⏎
everyone in the palace…"		
