Header	Japanese	Google Translate	Translated
28010774	ふん、こうなる事は⏎わかっていた	Hmm, I knew this would happen.	
09030208	ジョーカー!	Joker!	
19810710	この町が無人になってから⏎もう、ずいぶん長い⏸そうだな。⏎16年というところか⏸町が 美しいままなのは⏎まりょくのせいだ⏸同時に、町の住民を消したのも⏎そのまりょく……	It seems like it's been a long time since this town was deserted. ⏎It's been 16 years or so⏸It's Maryoku's fault that the town remains beautiful⏎At the same time, it's Mariyoku who wiped out the town's residents...	
1a030c14	どういう事?	What do you mean?	
19810710	大むかし……⏸トーラの住民たちは 永遠のちかいを⏎たてたのだ⏸デルトラ王家に⏎ちゅうせいをつくすという ちかいだ⏸引きかえに、町の安全と 豊かなくらしを⏎約束するまりょくがあたえられた	A long time ago... The residents of Thora were on the verge of eternity. They were on the verge of paying their respects to the Deltora royal family. In exchange, Maryoku promised them the safety of the town and a prosperous life. was given	
1a030c14	それじゃあ……ちかいは やぶられたの?	So... has the neighborhood been destroyed?	
19810710	そうだ⏸デルトラ王エンドンが⏎助けを もとめた時に……	That's right, when King Deltora, Endon, asked for help...	
1a030c14	やっぱり父はここへ?	Is my father here after all?	
19810710	直接来たのか、手紙を出したのか……⏸どちらにしてもトーラの⏎住民はちかいを やぶった⏸ちかいを たてたのは 大むかしの事だ。⏎人の気持ちは変わるものだ……⏸いや、オレはトーラの人々に⏎どうじょうする⏸この世界が影の大王に支配され⏎きょうふの世界に変わったのは……⏸そう、エンドン国王が あまりにも⏎おろかだったからだ⏸その国王が 助けを もとめてきても⏎むかえる気にはならんだろう	Did they come directly or did they send a letter? Either way, the ⏎ residents of Thora destroyed the threat ⏸ It was a long time ago that the threat was established. ⏎People's feelings change...⏸No, I'm going to do something to the people of Thora.⏸This world was ruled by the Great Shadow King and turned into the world of Kyofu...⏸That's right, King Endon. But he was so stupid that even if the king asked for help, he probably wouldn't want to help.	
1e030c14	父を悪く言うな!	Don't speak ill of my father!	
19810710	おまえがエンドン国王の息子?⏎そんな たわごとは信じられん⏸なぜなら……おまえには⏎知恵も勇気もある⏸どちらも国王のちすじには⏎ないものだ⏸どうだ、デイン。⏎レジスタンスにもどって来ないか?	Are you the son of King Endon? ⏎I can't believe that nonsense⏸Because...you have ⏎wisdom and courage⏸both of which are ⏎none of the King's lineage.⏸What do you think, Dain? ⏎Will you come back to the Resistance?	
1a030c14	………	………	
19810710	町の外で待っている	waiting outside town	
1103030c	デイン!!	Dayne!!	
1a810c14	みんな、今まで⏎ありがとう⏸これ以上、みんなの旅の⏎じゃまはできないよ⏸ここへ来て、両親と⏎再会する事が ぼくのゆめだった⏸でも、今すぐには かなわないようだ⏸だから、ぼくも 影の大王から⏎人々を助けるために戦うよ⏸両親をさがすのはそれからでも⏎おそくはない⏸ぼくはレジスタンスの⏎一員にもどる⏸これからはジョーカーに⏎したがうよ	Thank you everyone for everything so far. I can't get in the way of everyone's journey anymore. It was my dream to come here and be reunited with my parents, but it doesn't seem like it's going to happen right now. So, I am also the Great King of Shadows. I will fight to save people. It's not too late to find my parents. I'll return to being a member of the Resistance. From now on, I'll follow the Joker's lead.	
09030208	それで……いいんだな?	So...is that okay?	
1a810c14	うん	Yeah	
1103030c	ちょっと待ってよ!	Wait a minute!	
1103030c	みんな、どうしてジョーカーを⏎信じているの?	Why does everyone believe in the Joker?	
1103030c	本物のジョーカーのおはかを⏎見たじゃない?	Didn't you see the real Joker's breakfast?	
1103030c	この人はジョーカーのニセモノ。⏎そう、影の大王の手先かも!	This person is a joker fake. ⏎Yes, he might be a minion of the Great Shadow King!	
19810710	……あの人のはかを見たのか?	...Did you see that person's face?	
09030208	ああ。きょうふの山でな	ah. At Kyofu Mountain	
19810710	まあ、かくす必要もあるまい⏸オレは影の王国のとうぎじょうで⏎かいぶつと戦わされていた⏸ざんこくな見せ物さ⏸オレは そこから にげだして⏎デルトラの世界へやってきた	Well, there's no need to hide ⏸ I was forced to fight monsters ⏎ in the kingdom of shadows ⏸ It was a shady spectacle ⏸ I ran away from there ⏎ and came to the world of Deltora.	
1103030c	やっぱり影の王国から来たのね!	After all, you came from the Kingdom of Shadows!	
19810710	いや……⏸デルトラで過ごした日々の⏎きおくも多少はある	No...⏸I still have some memories of the days I spent in Deltora.	
09030208	多少?	How many?	
19810710	影の王国から にげたオレは⏎おってに囲まれて殺されかけた⏸おそらくその時だ。⏎ほとんどのきおくを無くしてしまった⏸おぼえているのは……⏸オレをかばい、そして世話をしてくれた⏎しんせつな男の、ジョーカーという名⏸オレは かんしゃのあかしとして⏎彼の名を引きついだのだ	When I escaped from the Kingdom of Shadows, I was surrounded by Otome and almost killed, probably at that time. ⏎I lost most of my memory⏸All I remember is...⏸The man who protected me and took care of me⏎A mean man named Joker⏸As a proof of his anger⏎His I inherited the name	
1103030c	どうかしら……	I wonder...	
19810710	信じなくてもいいさ⏸これでもレジスタンスの仲間からは⏎信らいされている⏸オレは その信らいがあれば⏎戦っていけるからな	You don't have to believe in me⏸Even with this, my fellow resistance members believe in me⏎As long as I have that belief, I can fight.	
19810710	このぼうしを おまえにやろう⏸影の大王とその手下たちは⏎おまえのかみの毛を目印にしている⏸かみをかくせば おまえは少年そのものだ	I'll give you this hat ⏸ The Great Shadow King and his minions ⏎ The hair on your head is their landmark ⏸ If you hide your hair, you'll be just a boy.	
1203030c	しつれいね!	So sad!	
04810104	似合うと思うよ、ジャスミン	I think it suits you, Jasmine.	
1103030c	……しかたないわね。⏎身の安全のためだもの……	...I have no choice. ⏎It's for your own safety...	
28010000	ジャスミンは⏎『#f8ff黒っぽい毛糸のぼうし#fcff』を手に入れた	Jasmine obtained ⏎“#f8ff black wool hat#fcff”	
19810710	それじゃあ……な	Well then...	
1103030c	デイン、また会えるよね!	Dane, we'll see you again!	
20810c14	もちろんだよ、ジャスミン!⏸バルダ、リーフ。⏎気をつけて!	Of course, Jasmine!⏸ Barda, Leaf. ⏎Be careful!	
1303030c	……行っちゃった	...I went	
09810208	一生の別れというわけでは⏎ないだろう?⏸さあ、気持ちを入れかえるぞ⏸さいごの宝石を⏎取りかえしに行こうではないか!	It's not like we'll be parting ways forever, right? Now, let's change our minds and get our final jewels back!	
01030104	うん	Yeah	
1103030c	そうね	That's right	
09810208	『いましめの谷』……いいな?	“Isashime no Tani”…isn’t it good?	
01030104	うん、行こう	Yeah, let's go	
1181030c	この人たちは なに?	What are these people?	
01030104	さびしそうに見えるけど……	It looks lonely though...	
09810208	てきではなさそうだ⏸宝石を手に入れてから⏎考える事にしよう	It doesn't seem like a good idea⏸I'll think about it after I get the gem.	
1103030c	冷たいのね	It's cold, isn't it?	
09810208	いや、それが この人たちを⏎すくう事になる	No, that will ⏎scoop these people.	
01030104	うん。そうだね⏸宝石を守っている番人が⏎いるはずだ⏸番人の回りには 苦しんでいる⏎人たちがいる⏸これまで、ずっとそうだった	Yeah. That's right, there must be a keeper who protects the jewels. Around the keeper there are people who are suffering. It's always been that way.	
1303030c	……そうだったわね	...That's right.	
09810208	宝石を集める事こそが⏎すなわち、世界をすくう事だ⏸もう迷いはない	Collecting gems is what it means to scoop up the world. There's no hesitation anymore.	
01030104	え!? 迷っていたの?	What!? Were you lost?	
0b810208	そりゃ……な	Well...	
09810208	宝石とおまえたち⏸どっちが大事だと問われれば⏎それはリーフとジャスミンだ⏸だが、ふたりとも、もう⏎オレの心配など無用	If you were to ask me which is more important, the jewel or you, it would be Leaf or Jasmine, but both of them don't need to worry about me anymore.	
1103030c	バルダ……	Barda...	
09810208	たよりになる 旅の仲間だ	A reliable travel companion	
01030104	バルダもね	Barda too	
09810208	だから、もう迷いはない	So, don't hesitate anymore	
05810104	これは!?	this is!?	
09030208	リーフ、ベルトにふれてみろ	Leaf, touch the belt.	
01810104	うん、あたたかい⏸宝石はここにあるよ。⏎7こ目の宝石ダイアモンド!	Yeah, it's warm ⏸ The jewel is here. ⏎7th jewel diamond!	
00000501	ダイアモンドは じゅんけつと力のシンボル⏎あらゆる人の心を みりょうする⏎⏎心正しき者 この石を持てば 勇気と力わき⏎災いをのがれ しんじつの愛を 手にする	Diamond is a symbol of strength and power⏎It touches the hearts of all people⏎⏎If you are right-hearted, if you carry this stone, you will have courage and strength⏎You will avoid disaster and find true love.	
00000501	されど注意せよ⏎ダイアモンドは ぼう力と不正をきらう⏎⏎よくにかられ これをうばう者あらば⏎必ずや ふこうをもたらす	But be careful ⏎Diamond hates power and dishonesty ⏎⏎If anyone steals it, it will surely bring fuuou.	
28010774	今度は おまえたちか?	Is it you guys this time?	
02810104	だれだ!	Who is it?	
2e030770	わしはエンドン⏸ここで ある方の命令にしたがい⏎美しい宝石を守っている	I am Endon⏸Here I am following someone's orders⏎guarding a beautiful jewel.	
05810104	エンドン!? エンドン国王!?	Endon!? King Endon!?	
2e030770	国王……かつては⏎そう呼ばれた事もあった⏸しかし大臣たちのうら切りにあい⏎城を捨てて ほうろうの日々⏸くなんの末たどりついたこの谷で⏎影の大王様と出会ったのだ⏸影の大王様はわしに美しい宝と⏎おおぜいの民を下さった⏸谷をさまよう もうじゃどもを見たか?⏎一同、おまえたちを かんげいするぞ	King... he was once called that, but was rejected by his ministers, abandoned the castle, and spent his days in vain.In this valley, where he ended up in the valley, he met the Great King of Shadows. ⏸The Great Shadow King has given me a beautiful treasure and ⏎many people⏸I am wandering through the valley.Have you seen me yet?⏎We all wish you all the best.	
0b030208	あなたがエンドン国王?⏎信じられない……	Are you King Endon?⏎I can't believe it...	
02810104	そうだよ!⏎国王はそんな老人じゃない	That's right!⏎The king is not that old man.	
2e030770	くなんの人生は老いを早める。⏎ただそれだけの事……	Kunan's life accelerates his aging. ⏎That's all...	
1281030c	ねえ、あとつぎは?⏎国王には子どもがいるはずよ	Hey, what's next?⏎The king must have a child.	
2e030770	……	……	
02810104	ぼくは信じないぞ!⏎あなたはエンドン国王じゃない!	I don't believe you!⏎You're not King Endon!	
2e030770	それよりも おまえたちは⏎宝石を取りに来たのだろう?⏸ならばゲームをしないか?⏸宝石が ほしければ ゲームに⏎参加しなくてはならない⏸それがこの谷のルールだ	Rather than that, you guys came to ⏎get the jewels, right?⏸Then why don't you play the game?⏸If you want the gems, you have to ⏎participate in the game⏸That's the rule of this valley.	
05810104	ゲームだって?	Is it a game?	
0b030208	(リーフ、つきあう必要はない)	(Leaf, you don't need to hang out)	
1281030c	(そうよ……⏎3人で力を合わせれば……)	(That's right...⏎If the three of us join forces...)	
01810104	(うん……い、いやダメだ!⏎ダイアモンドは不正をきらうんだ)⏸(ルールがあるなら⏎したがわなくちゃ)	(Yeah...no, no, no!⏎Diamond hates injustice)⏸(If there are rules⏎, you have to follow them)	
09030208	うーむ……⏎それは、どのようなゲームかな?	Hmm...⏎What kind of game is that?	
2e030770	おまえたちに ふさわしいゲーム。⏎わしが心を読んで 決めよう⏸かてば宝石を⏎手に入れる事ができる⏸負けても気にする事はない。⏎この谷で一生くらすがよい	A game suitable for you. ⏎I'll read your mind and make a decision.If you win, you'll get the jewel.⏸Don't worry about losing. ⏎You can live your whole life in this valley	
01810104	………わかった	………Understood	
09030208	リーフ、自信はあるのか?	Leaf, are you confident?	
01810104	ない。⏎でも、せんたくのよちもない	do not have. ⏎But I have no choice.	
2e030770	きまったようだな⏸では、さっそくまほうで⏎ゲームを用意しよう⏸さあ、行くぞ!	Looks like it's decided⏸ So let's get ready to play the magic game ⏸ Now, let's go!	
01030104	なんだろう……	I wonder what it is...	
0d810208	うわっ!	Wow!	
03810104	なんとか……	Somehow...	
09030208	やりとげたようだ	Looks like you've done it	
2e030770	ほほう……⏸次からはひとりずつだ。⏎まず……おまえから!	Hoho...⏸From now on, we'll do it one by one. ⏎First...you!	
01810104	ああ、わかった	Ah, I understand	
2e030770	ふふふ……⏸おまえの心が 手にとるように⏎見えるぞ……⏸おまえにふさわしいのは……⏸これだ!	Hehehe...⏸I can see your heart in my hands...⏸This is what you deserve...⏸This is it!	
05810104	(ここはデルの町!?)	(This is Del's town!?)	
01810104	(いや、これはまほうでつくられた⏎まぼろしだ)	(No, this is an illusion made with magic)	
02810104	(まどわされないぞ!)	(Don't be fooled!)	
1701030c	キャッ!	Kya!	
1e030c14	おい、きみ!⏸ケガをしたくなかったら⏎にげるんだ!	Hey, you! ⏸If you don't want to get hurt, ⏎run away!	
1401030c	ありがとうデイン!	Thanks Dane!	
20810c14	さあ、ジャスミン、行こう⏸ぼくのベルトがあれば⏎影の大王なんてこわくない!	Come on, Jasmine, let's go⏸With my belt⏎I won't be afraid of the Great Shadow King!	
1401030c	うん、そうね!	Yeah, that's right!	
03810104	(なんだよ……⏎まぼろしとはいえ、はらが立つな)	(What the heck... ⏎Even though it's just an illusion, I'm still upset.)	
1283030c	キャッ!	Kya!	
01030104	(どうせまたデインが⏎来るんだ……)	(Dane is coming again anyway...)	
0a810208	おい、じゃまだ。⏎まきこまれてもしらんぞ!	Hey, you're in the way. ⏎I don't care if you get caught up in it!	
09030208	さあ、急ごう!	Now, let's hurry!	
19030710	さあ、デイン。⏎旅は まもなく終わる⏸おまえが命をかけて⏎あつめた宝石……⏸まずさいしょに父親に⏎見せてやるんだ	Come on, Dane. ⏎Her journey will end soon⏸You risked your life⏎to collect the jewels...⏸First of all, you should show it to your father⏎	
09810208	さあ、デイン。⏎ジャードが待っているぞ!	Come on, Dane. ⏎Jard is waiting!	
1481030c	デインのお父様に⏎気に入ってもらえるかしら?	Will Dain's father like it?	
20030c14	きみなら まちがいないよ、ジャスミン	You're right, Jasmine.	
03810104	(ナ、ナンテ……マボロシダ……)	(Na, Nante... Maboroshida...)	
20810c14	父さん、母さん!⏎宝石は全部そろったよ!⏸ぼく、やったよ!	Dad, Mom!⏎All the jewels are here!⏸I did it!	
1b030618	よくやった、息子よ!	Well done, son!	
1c03081c	わたしたちはゆめを見たのよ⏸息子がデインじゃなくて⏎リーフとかいう……⏸そう、たよりない子が⏎息子のゆめよ	We saw a dream ⏸ My son wasn't Dain ⏎ His name was Leaf... ⏸ That's right, there was a hopeless child ⏎ My son's dream	
1b030618	もう、そんなゆめの事なんか⏎忘れてしまおう!	Let's forget about that dream!	
1e030c14	これは手強そうだ	This looks tough	
1e810c14	そこのきみ!⏸ぼさーっと見てないで⏎力を貸してくれないか!?	You there! ⏸ Don't stare at me ⏎ Can you lend me your strength!?	
1381030c	あの子、おびえているわ。⏎まきこんじゃかわいそうよ……	That kid is scared. ⏎I feel sorry for Makiko...	
1b030618	きみ、あぶないから⏎家の中に入って かくれていなさい	You are in danger ⏎Go inside the house and hide.	
1c03081c	そうよ、うちのデインは強いんだから⏎まかせていればいいのよ	That's right, my Dain is strong, so you can leave it to him.	
02810104	なんてまぼろしを見せるんだ!	What an illusion!	
2e030770	ほほう……打ちかったとな⏸では、次はおまえ。⏎ジャスミンとか言ったな	Hoho...I guess I hit it⏸ Well then, you're next. ⏎You said jasmine.	
01810104	だいじょうぶだよ、ジャスミン。⏎心を強く持って!	It's okay, Jasmine. ⏎Be strong in your heart!	
2e030770	ふふふ……⏎おまえにふさわしいのは……	Hehehe...⏎What is suitable for you is...	
1181030c	何か書いてある……⏸『#f8ff真っ黒石#fcff』を3こささげよ……	"There's something written on it... ⏸ Make 3 pieces of ""#f8ff pitch black stone #fcff""..."	
1481030c	かんたんじゃない!	It's not easy!	
1181030c	『#f8ff真っ黒石#fcff』を3つ集めてきたわ。⏎ここに置くわよ	I've collected three ``#f8ff pitch black stones #fcff''. ⏎I'll put it here.	
28030a00	ふん⏸『#f8ffまぼろしの首かざり#fcff』を見つけてきたら⏎ここを とおしてやるぞ!	Hmm⏸If you find “#f8ff imaginary neck ornament #fcff”⏎I’ll send it through here!	
1181030c	『#f8ffまぼろしの首かざり#fcff』ね?⏎わかったわ	『#f8ff Illusionary neck ornament#fcff』 right?⏎I understand.	
28030a00	みごとだ……⏎とおるがよい	It's amazing...⏎Toru is good	
1181030c	何か書いてある……⏸うごくな。心をしずめよ……	There's something written...⏸It's moving. Calm your heart...	
1781030c	あっ! とびらが!?	Ah! The door!?	
1481030c	やっぱり! 思ったとおりだわ!	As expected! It's just as I thought!	
1403030c	わたしのかちね!	My home!	
01810104	あとはバルダ……	And then there's Barda...	
0a030208	まかせておけ!	Leave it to me!	
2e030770	ふふふ……⏎おまえはどうかな?	Hehehe...⏎What about you?	
0a030208	これがゲーム?⏎オレをバカにするな!	Is this a game?⏎Don't make fun of me!	
28010700	うぬぼれるなよ!	Don't be conceited!	
09810208	ふん……読めたぞ	Hmm...I read it.	
0c030208	リーフ! ジャスミン!⏎オレはやったぞ!	Leaf! Jasmine!⏎I did it!	
09810208	さあ、番人よ⏸オレたちはゲームを⏎やりとげた!	Well, keepers, we've played the game!	
01030104	宝石を わたしてもらおう。⏎それがルールなんだろう?	Let me give you the jewels. ⏎Isn't that the rule?	
2e030770	い、いや、ダメだ⏸この宝石はわしの宝だ!⏎これが無くなったら わしは……	No, no, no ⏸ This gem is my treasure! ⏎ If this disappears, I...	
01030104	ダイアモンドは不正をきらう⏸素直にわたさないと⏎ダイアモンドのまりょくが……	Diamonds hate injustice⏸If you don't hand it over honestly⏎Diamond Marryoku...	
2e030770	ぐわっ!!	Gwaa!!	
1781030c	どうしたの!?	what happened!?	
0a810208	ダイアモンドの力か!?	Is it the power of diamonds?	
02030104	うん!	Yeah!	
04810104	やった!	Yay!	
00000000	#f9ff父さん。⏎#f9ffぼくたちはついにやりました。⏎#f9ff7つのベルトの穴が⏎#f9ff全部埋まりました!	#f9ffDad. ⏎#f9ffWe finally did it. ⏎#f9ffAll seven belt holes ⏎#f9ff are filled!	
09810208	リーフ……ジャスミン……	Leaf...Jasmine...	
1403030c	これでベルトは完成ね	The belt is now complete.	
05810104	うわっ!?	Wow!?	
02810104	これは!?	this is!?	
2c81063c	わたしはトーラ族の⏎ゼアンと申します⏸あなたたちには なんと⏎おれいを言えば良いのか……	My name is Zean from the Torah tribe, and I don't know what to say to you...	
09030208	ゼアンよ⏸トーラの民は ちかいをやぶった。⏎その結果が……これだったのか?	Zean, the people of Torah have defeated the enemy. ⏎The result...was this?	
2c81063c	はい、はずかしながらそのとおり⏸トーラが栄えたのは⏎まりょくのおかげでした⏸それなのに わたしたちは……⏸そう、自分たちがかんぺきなのだと⏎考えたのです⏸ですから、エンドン王から⏎助けをもとめる手紙が来たとき……⏸わたしたちは 大むかしのちかいなど⏎見向きもしなかったのです⏸しかし、ちかいは 生きていました	Yes, that's right, although I'm embarrassed to say that Thora flourished because of Marryoku.And yet, we thought...that we were perfect.Therefore, from King Endon... ⏎When a letter came asking for help... ⏸We didn't pay any attention to the ``long-ago near'' ⏎But the near was alive.	
01810104	エンドン国王は どうなったの?	What happened to King Endon?	
2c81063c	ざんねんながら わたしたちは⏎何も知らないのです……	At first glance, we don't know anything...	
2d030740	おかげで⏎目がさめました……	Thanks to you, I woke up...	
01810104	あなたは エンドン国王では⏎ないのですね?	You're not King Endon, are you?	
2d030740	はい。ちがいます⏸わしは リスメアという 町で⏎宿屋を営んでいました	yes. No, I used to run an inn in a town called Lysmere.	
09030208	宿屋チャンピオンか!?	Inn Champion!?	
2d030740	ご存知でしたか。⏎わしはあそこのていしゅでした⏸ところがとつぜん影の憲兵団に⏎宿がおそわれて……⏸わしは 命からがら⏎この地まで にげてきたのです⏸そして 怒りと ぜつぼうの中で⏎くらしていました	Did you know? ⏎I was living there, but suddenly the inn was attacked by a group of military police in the shadows... ⏎I barely escaped with my life. I was living in	
01810104	そこを影の大王に⏎つけこまれたんですね?	The Great Shadow King took advantage of that, right?	
2d030740	はい……	yes……	
09030208	しかし、なぜエンドン国王を⏎名乗ったのだ?	But why did he call himself King Endon?	
2d030740	影の大王の命令です。⏎わしのすがたを見、言葉を聞けば……	This is the order of the Great Shadow King. ⏎If you look at me and hear my words...	
01810104	そうか!⏸だれも国王のために戦おうなんて⏎思わなくなる!	That's right!⏸No one will want to fight for the king!	
2d030740	そうです⏸かつて、ひとりだけゲームに⏎しょうりした方がいました⏸その方は宝石を受け取ろうと⏎せず……⏸ただ、国王には失望したと⏎言いのこして この地を去りました…	That's right⏸Once upon a time, there was only one person who played the game⏎and did not accept the jewels...⏸However, he left this place saying that he was disappointed in the king...	
09030208	それは、だれだ!?	Who is that!?	
2d030740	たしか……ジョーカーという⏎名の男だったかと	I think it was a man named Joker...	
01810104	だからジョーカーは……	So Joker...	
09030208	国王を悪く言うのだな	You say bad things about the king.	
2d030740	本当にもうしわけない事を⏎しました……	I did something I really shouldn't have done...	
1181030c	リーフ、ご苦労さま	Leaf, thank you for your hard work.	
01030104	きみと バルダのおかげだよ	It's all thanks to you and Barda.	
1181030c	いろいろ、ひどい事言って⏎ごめんね	I'm sorry for saying all sorts of terrible things.	
01030104	そんなに言われたかな?	Did you say that much?	
1481030c	なーんだ。⏎もっと、いじわるすれば良かったわ	What? ⏎I should have messed with you more.	
02030104	ぼくは いじわるされていたの!?	Was I being bullied?	
09030208	ジャスミン、リーフをからかうな	Jasmine, don't make fun of Leaf.	
1481030c	そうね。⏎からかうならやっぱりバルダね	That's right. ⏎If you're going to make fun of me, it's definitely Barda.	
09030208	おい!	Hey!	
1181030c	ねえ、リーフ⏸もう一度ベルトを見せて	Hey, Leaf⏸Show me your belt again.	
09030208	ダメだ。⏎周囲の目がある	No. ⏎There are eyes around you	
0b030208	……いや、やはり、オレも見たい	...No, I still want to see it too.	
01030104	ほら!	Look!	
0c030208	……ふはは	...Hahaha	
1481030c	あはははは!	Ahahahaha!	
0c030208	わはははは!	Wahahahaha!	
04030104	はははははは! やったー!	Hahahahaha! Yay!	
00000000	父さん。⏎こんなに笑ったのは久しぶりです。⏎⏎まだ、デルトラ王家のあとつぎを⏎さがさなくてはならないけど⏎あまり心配していません。	Dad. ⏎It's been a while since I laughed this much. ⏎⏎I still have to ⏎find a successor to the Deltora royal family, but ⏎I'm not too worried.	
00000000	ぼくたちには道しるべがあります。⏎⏎このデルトラのベルトが⏎ぼくたちをみちびいてくれる。⏎そんな気がしています。	We have a guidepost. ⏎⏎This Deltora belt will guide us. ⏎That's how I feel.	
28010800	助けてくれて、ありがとう!⏎うふふ……思わず笑顔になっちゃう!	Thank you for helping me!⏎Hehehe...I can't help but smile!	
28010800	王とのちかいをやぶってしまった事が⏎はずかしいわ。約束は守らなくっちゃ!	I'm embarrassed that I broke my promise to the king. I have to keep my promise!	
28010900	地に足をつけて步けるの!⏎これって、とっても大切な事よ!	You can walk with your feet on the ground!⏎This is very important!	
28010900	谷をさまよってる間、生きた心地が⏎しなかったわ。本当にありがとう!	While wandering through the valley, I didn't feel alive. thanks so much!	
2c81063c	ありがとう……⏸あなた方には してもしきれないほど⏎かんしゃしています	Thank you...⏸I'm more than grateful to you⏎	
2d030740	ううう……⏎わたしは……いったい……?	Uuuuu...⏎What am I...?	
2d030740	これからは、つみをつぐなうため⏎人のためにはたらこうと思います……	From now on, I will work for others to atone for my sins...	
1103030c	よしよし。むずかしい話は⏎リーフとバルダにまかせようね クリー	Okay, okay. Let's leave the difficult questions to Leaf and Barda, Cree.	
28010600	また この町で くらせるのは⏎あなたたちの おかげです⏸本当に ありがとうございます	It is thanks to you that I can live in this town again⏸Thank you very much.	
28010700	われわれの 思い上がりが 王と⏎世界を苦しめたのだ……⏸つみほろぼしの方法を⏎考えねば……	Our hubris has caused the king and the world to suffer... We need to think of a way to break the knot...	
28010900	また、家族で いっしょに⏎すごせるなんて ゆめのようです!	Also, it feels like a dream to be able to spend time together as a family!	
28010700	ありがとう!⏎本当にありがとう!	Thank you! ⏎Thank you so much!	
28010800	わたし、おとうとがほしいよ!	I want a father!	
28010900	この町で なやみながら⏎生きてきました……⏸でも、あの谷で もうじゃとして⏎さまようより ずっと マシです!	I've been living a lazy life in this town... But it's much better than wandering around in that valley!	
