Header	Japanese	Google Translate	Translated	Notes
9030208	おい、リーフ	Hey Leaf	Lief-	
1203030c	わたしがやるわ!⏸一生ろう屋ぐらしか 死刑よ?⏎わたしのカンを信じなさい!	I'll do it! ⏸ Life in a deaf house or the death penalty? ⏎ Believe in my words!	"I’ll do it! Trust in⏎
my instincts!"	
2810104	ジャスミン!	jasmine!	Jasmine!	
1203030c	だまってて!	Shut up!	Back off!	
30810848	(わたしのせいで……ごめんなさい)	(It's my fault...I'm sorry)	(This is my fault…)	
1810104	(しかたがないよ。⏎今は ジャスミンのカンを信じるしかない)	(I have no choice. ⏎I have no choice but to believe in Jasmine's words now)	"(I hope Jasmine’s⏎
instincts don’t)⏸
(let us down!)"	
30810848	(ちがうの。⏎カードは2枚とも【死】なの)	(It's different. ⏎Both cards are [Death])	"(It’s a trick!)⏸
(Both cards say⏎
Death!)"	
2810104	(なんだって!?)	(What?!)	(What?!)	
0	父さん、どうしよう。⏎どっちのカードを引いても⏎ぼくたちは死刑になってしまう……	"Dad, what should I do? ⏎No matter which card we draw⏎we will be sentenced to death..."	"What should we do?⏎

No matter which card⏎
is drawn、we will be⏎
sentenced to death!"	
0	2枚とも死……2枚とも死のカード……	Both cards are death... Both cards are death...	"Both are Death…⏎
Both cards say Death…"	
28010790	さっきのいきおいはどうした。⏎早くカードを引くんだ⏸うんめいを きめるカード。⏎1枚は【生】、1枚は【死】	"What happened to your energy earlier? ⏎Draw a card quickly⏸A card that lets you make a decision. ⏎1 card is [life], 1 card is [dead]"	"Why the hesitation?⏸
Hurry up and draw a⏎
card!⏸
Will it be Life or⏎
Death?"	
1810104	(そうか!)	(I see!)	(I’ve got it!)	
2810104	やっぱりぼくが引く!	"After all, I'll pull it!"	Let me draw it!	
1203030c	なにするのよ!	What are you doing?	What are you doing?!	
2810104	まかせてくれ!	Leave it to me!	Trust me!	
1203030c	やめてよ!	Stop it!	Stop it!	
28010600	あっ!	Ah!	Ah!	
28010790	なんという事を!	What a thing!	You fool!	
1810104	だいじょうぶです⏸中に残っているカードを見れば⏎ぼくが引いたカードがわかります	It's okay⏸If you look at the cards remaining inside⏎you'll see which card I drew.	"I beg pardon for my⏎
clumsiness!⏸
But you can easily⏎
tell which card I⏸
drew。Simply look at⏎
the one remaining in⏸
the cup!"	
1810104	【死】のカードです⏸つまりぼくが引いたのは……	"It's a [Death] card⏸In other words, what I drew was..."	"It says Death。So⏎
that means…"	
1103030c	【生】のカードね	[Raw] card	"You drew the Life⏎
card!"	
9810208	なんとか死刑はのがれたな。⏎リーフのうんも たいしたものだ	Somehow I escaped the death penalty. ⏎Leaf poop is also a big deal.	"It seems we have⏎
avoided death again⏸
That was lucky、Lief"	
1281030c	わたしだって【生】を引けたはずよ	Even I could have drawn [Raw].	"I would have drawn⏎
the Life card too!"	
1030104	ちがうんだ。⏎カードは2枚とも【死】だった	That's different. ⏎Both cards were [death]	"No。Both cards were⏎
actually Death"	
1181030c	え!?	picture!?	Huh?	
1030104	あいつらは ぼくたちを⏎死刑にするつもりだった⏸でも公平に見せかけるために⏎あんなものを用意したのさ	"They were going to put us to death, but they set this up to make it seem fair."	"They intended for us⏎
to die、but they⏸
needed it to seem⏎
fair"	
0b810208	なんと……	What...	…	
1030104	このままじゃすまないだろうな	I don't think it will go on like this.	"I don't think we’ll⏎
be so lucky again"	
30810848	さあ、にげて	"Come on, run away"	Go on、run!	
0c030208	助けてくれるのか!?	Will you help me?	You’re helping us!?	
1281030c	悪いけど……とうぜんよ	I'm sorry but... it's fine.	Of course she is!	
3030104	ジャスミン……	jasmine……	Jasmine…	
30810848	いいんです。そのとおりです	It's okay. That's right	"It’s okay。Yes、let’s⏎
go!"	
30810848	キャッ! ネズミ!	Cat! Mouse!	Eek! Rat!	
1281030c	しつれいね!⏎フィリはネズミなんかじゃないわよ!	So sad! ⏎Fili is not a rat!	"What!? Filli isn’t⏎
a rat!"	
9030208	なるほど……⏎これは使えるかもしれないぞ⏸ここのれんちゅうは度をすぎた⏎きれい好きだ⏸ネズミを見ればこんなふうに……	I see... ⏎This might be useful ⏸ The bricks here have gone too far ⏎ I like cleanliness ⏸ This is what I see when I see a mouse...	"I see… this could be⏎
useful。These people⏸
are obsessed with⏎
cleanliness to the⏸
point where a rat⏎
terrifies them"	
1281030c	フィリはネズミじゃない!	Fili is not a rat!	Filli isn’t a rat!	
9030208	まあ、細かい事は気にするな	"Well, don't worry about the details."	Details、details…	
9030208	ほら、フィリもやる気のようだ	"Look, Fili seems motivated too."	"I think Filli gets⏎
the idea!"	
28010100	うわ! ネズミだ!	Wow! It's a rat!	Aah! It’s a rat!	
28010100	つかまえろ!	Catch it!	Catch it!	
28010100	おまえが つかまえろ!⏎よごれて死にたくない!	You should catch it!⏎I don't want to get dirty and die!	"You catch it! I⏎
don’t want to die!"	
0b030208	しかし、なぜネズミを⏎これほどおそれるのだろう⏸たしかに よごれてはいるが……	"However, why are they so afraid of rats? They are certainly dirty, but..."	"Hm、but why are they⏎
so afraid of rats?⏸
They are dirty、but…"	
1281030c	バルダ! フィリは きたなくない!	Barda! Fili isn't dirty!	"Barda! Filli isn’t⏎
dirty!"	
9030208	ああ ネズミでもない。わかったわかった。⏎さあ、行こう	"Oh, it's not even a rat. I understand, I understand. ⏎Come on, let's go"	"I know! I know! He’s⏎
not a rat⏸
Come on、let’s go!"	
1810104	うん。でもその前に⏎ティラを ろう屋へ	"Yeah. But before that, ⏎Take Tira to the deaf shop."	"First、put Tira in⏎
the prison cell"	
1810104	そうすれば ぼくたちを ワザと⏎にがしたとは思われないだろ?	"If you do that, they won't think you've deliberately ripped us off, right?"	"That way they won’t⏎
suspect that she let⏸
us go intentionally!"	
2810104	さあ、行こう!	Let's go!	Let’s go!	
1810104	やけに大きなだいどころだね⏸この町の住民はそれほど⏎多くはないと思うけど……	"It's a really big corner, I don't think there are that many residents of this town..."	"What a huge kitchen!⏎
It seems way too big⏸
for just the people⏎
of Noradz…"	
2801078c	当番はいやなものだな	Being on duty is unpleasant.	"Bah、I hate being⏎
on patrol duty…"	
2801078c	ああ、あの憲兵団の⏎ふけつなニオイと言ったら……	"Ah, speaking of that ⏎filthy smell of the military police..."	"Those Grey Guards⏎
smell awful…"	
2801078c	おまえたちは!?⏎どうやって にげ出した!?	You guys!?⏎How did you escape!?	"You!?⏎
How did you escape!?"	
2801078c	しかもこの聖なるだいどころに⏎きたない格好で入りこんで!	"Moreover, enter this sacred place ⏎ in dirty clothes!"	"You’ve entered the⏎
sacred kitchens in⏸
your filthy clothes!"	
1810104	聖なるだいどころ?	The sacred corner?	Sacred kitchens?	
2801078c	ここは聖なる料理をつくるばしょだ!	This is the place to make sacred food!	"This is where the⏎
sacred food is made!"	
1203030c	聖なる聖なるって⏎だれが食べるのよ!	Holy holy ⏎Who will eat it?	"Sacred kitchens?⏎
Sacred food?⏸
What’s the point of⏎
all of this?"	
2801078c	それは……世界を支配する⏎大いなる お方と その部下たちよ	It's...the Great One who rules the world and his subordinates.	"It is for our great⏎
ruler and those who⏸
server him!"	
28010790	つまり、われわれが食べる。⏎住民は一生料理をつくり続ける	"In other words, we eat. ⏎Residents continue to cook throughout their lives"	"That means us! The⏎
people devote their⏸
lives to cooking!"	
2810104	おおぜいの人たちが おなかを⏎すかしているというのに!	So many people are hungry!	"But there are people⏎
starving in other⏸
parts of Deltora!"	
28010790	聖なる法に したがうのみ	Just follow the holy law	It is the sacred law	
1203030c	ただのかってなルールじゃない!	It's not just a rule!	The law is absurd!	
2810104	そのとおり!⏸皿をおとしただけで死刑なんて⏎ありえない!	That's right!⏸The death penalty for dropping a plate is impossible!	"Yeah!⏸
Death as punishment⏎
for dropping a plate?"	
28010790	ここにはここの法がある。⏎ただそれだけの事!⏸その法によれば……⏎おまえたちは死刑だ	There is a law here. ⏎That's all!⏸According to that law...⏎You are sentenced to death.	"That is the law! And⏎
according to the law…⏸
You are sentenced to⏎
death!"	
28010790	さて、その处理穴に⏎入ってもらうか	"Now, should I ask you to enter that hole?"	"Now then! Into the⏎
Hole!"	
9810208	处理穴?	Treat the hole?	The Hole?	
28010790	しっぱいした料理……⏎料理をしっぱいした料理人……⏸すべてを处理する穴だ	Failed cooking...⏎A cook who failed at cooking...⏸It's a hole that processes everything.	"It is where failed⏎
meals go… the Hole⏸
devours them all"	
1281030c	そんな穴、ぜったいイヤ!	I absolutely hate holes like that!	"I don't like the⏎
sound of that!"	
28010790	ふん、ネズミもろとも⏎死んでしまえ!	"Hmm, let's die along with the rats!"	"Hmph! You will die⏎
along with your rat!"	
2810104	へんだぞ!⏸なぜおまえはネズミを⏎おそれない!	That's strange!⏸Why are you not afraid of rats?	"That’s odd…⏸
Why are you not⏎
afraid of rats?"	
28010790	クリーン・チュルナイ!	Clean Churnai!	Noradzeer!	
9030208	どんな顔か見てやる	I'll see what you look like	"Let’s take a look at⏎
their faces…"	
1810104	見て!	Look!	Look!	
0a030208	影の大王のしるし!?⏎……そうか! なるほど!	The sign of the Great Shadow King!?⏎...I see! I see!	"The brand of the⏎
Shadow Lord!?⏸
Well、well…"	
9030208	デルの城にいたころに食べていた⏎料理はここでつくられていたのだ⏸どうりで同じ味がしたはずだ	The food I ate when I was in Del's castle⏎was made here⏸ so it should have tasted the same.	"The chocolate I ate⏎
back in the Palace⏸
of Del must have⏎
been made here…"	
1810104	どういう意味?	What does it mean?	What do you mean?	
0b030208	城の料理人をしんよう⏎できなかったんだろうな	Let's try being a chef in a castle ⏎I guess I couldn't do it.	"I guess they couldn’t⏎
rely on the castle’s⏸
chef…"	
1810104	だれが?	Who?	Who?	
1181030c	世界を支配する 大いなる お方と⏎その部下たち、ね	"The great One who rules the world and his subordinates, right?"	"The great ruler and⏎
those who serve him…⏸
Right?"	
9030208	国王をだましていた一味だな	This is the gang that deceived the king.	"They were deceiving⏎
even the king"	
3810104	そうだったのか……	Was that so...	I see…	
28010700	せいじょういいんの皆様!⏎いらっしゃいますか!	Dear Seijo Inns!⏎Are you here?	"Great Ra-Kachars?⏎
Are you in there?"	
1281030c	話は後にして にげましょう!	Let's leave the story for later and run away!	"We don’t have time⏎
for this right now!⏸
Let’s get out of⏎
here!"	
2810104	急いでこの赤い服を着るんだ!	Hurry up and put on this red dress!	"Hurry and put on⏎
their robes!"	
9030208	なぜ!?	why!?	Why?	
1810104	カン!	Kang!	Just hurry!	
28010700	こちらでしたか。⏎ネズミはまだ見つかりません……	Was it here? ⏎The mouse has not been found yet...	"We’re still looking⏎
for that rat⏸
Have you seen it?"	
0a810208	ここにもいない!⏎他を探すのだ!	It's not here either! ⏎Look elsewhere!	"Uh… nope! Maybe try…⏎
somewhere else?"	
1030104	さあ、行こう	"Come on, let's go"	Come on、let’s go!	
9810208	どこから?	From where?	Go where?	
1030104	もちろん、处理穴さ	"Of course, it's a joke"	Into the Hole	
500	父さん、思ったとおりでした。⏎ネズヌクたちは处理穴を使って⏎料理を外にはこび、憲兵団にわたします。⏎⏎处理穴は赤い服を着ていれば⏎とおりぬけられるのです。	"Dad, it's just as I thought. ⏎The Nezunuku use the processing hole to spill the food outside and give it to the military police. ⏎⏎If you are wearing red clothes, you can pass through the prison hole as ⏎."	"As we suspected、the⏎
Ra-Kachars use the⏎
Hole to sneak food⏎
out for the Grey⏎
Guards。Their robes⏎
keep them safe in⏎
the passage"	
500	赤い服をもっていない人たちは⏎一生ここでくらすしかない……⏎そう思うとむねが痛みます。	Those who don't have red clothes ⏎have no choice but to live here for the rest of their lives...⏎My heart hurts when I think about it.	"Anyone without the⏎
robes is trapped in⏎
Noradz forever… it⏎
makes my heart ache"	
3030104	チュルナイへ⏎もどらなくていいのかな?	Do I have to go back to Churnai?	We need to go back	
9810208	なぜだ?	Why?	Why?	
3030104	あそこの人たちは だまされている⏸本当の事を⏎教えてあげた方がいいと思うんだ	The people over there are being deceived and I think it would be best to tell them the truth.	"We must tell the⏎
people that they are⏸
being lied to!"	
9810208	それはそうだが、だます側は⏎オレたちが たおしてしまった	"That's true, but we defeated the deceivers."	"Indeed⏸
But their leadership⏎
is in shambles now"	"This is very different from Barda’s response in the book - enough so that I have to assume that it’s an intended change and not a failure by Google Translate.
In the book, Barda points out that even if they survived returning and managed to convince the people of Noradz about the truth, the Shadow Lord would just make things worse for the people AND would turn more attention to the heroes’ quest.
The game seems to have a more positive outlook on the future of Noradz."
1181030c	そうよ。⏎あとは あの人たちがきめる事よ	That's right. ⏎The rest is up to those people to decide.	"He’s right、Lief。⏎
What happens next is⏸
up to the people of⏎
Noradz"	Jasmine
9810208	それよりも、あそこでは⏎もう料理はつくられないだろう	"More importantly, ⏎food will no longer be cooked there."	"Perhaps they will⏎
stop sending their⏸
food away to the⏎
Shadow Lord"	Barda
0b810208	そうなるとデルの城のれんちゅうは⏎さわぎ出すだろうな	"If that happens, the bricks in Del's castle will start to rustle."	"In which case、they⏎
are certain to take⏸
notice in the Palace⏎
of Del"	"Barda, eyes closed in thought"
1030104	ぼくたちのしわざだと 気づくかな……	I wonder if you'll realize that it's our doing...	"Do you think they’ll⏎
realize that we’re⏸
responsible?"	Lief
9810208	ああ、いつかはな	"Ah, someday"	"Mm、I’m sure they⏎
will before long"	Barda
1181030c	そう⏎だから先を急ぎましょう⏸ほら……	That's right ⏎ So let's hurry ⏸ Look...	"That’s right、so⏎
let’s get moving!"	Jasmine
9810208	あれがラットシティか	Is that Rat City?	"I believe that’s the⏎
City of the Rats"	
3030104	この川を わたるの!?	Are you going to cross this river?	"We need to cross the⏎
river?"	
1303030c	無理。ぜったい無理	Impossible. Absolutely impossible	"It’s… impossible…⏎
We’ll never make it"	
0b810208	……どっと つかれが出た	...I suddenly felt tired.	"I feel quite tired⏎
all of a sudden…"	
1203010c	(またはじまった……)	(or it started...)	(Here we go again…)	
0b810208	リーフ、何か食べるものはないのか?⏎つかれを取るには甘いものが……	"Leaf, don't you have something to eat?⏎Something sweet to relieve your tiredness..."	"Lief、my body grows⏎
weak… do you have⏸
any sweet food that⏎
could soothe me?"	
3030104	(もう……バルダ)	(Already... Barda)	(Sigh…)	
3030104	これでも食べてなよ	Don't even eat this	Well… I have these…	
0c810208	おう! では いただくとするか。⏎おまえたちも……	Okay! Shall we have it? ⏎You too...	"Alright! Let me at⏎
them!"	
1103030c	どうしたの?	what happened?	What’s wrong?	
0a810208	『#f8ff水くい虫#fcff』?⏎オレに虫を食わせる気か!?	『#f8ffWaterbug#fcff』?⏎Are you trying to make me eat bugs!?	"『#f8ffWater Eaters#fcff』? What⏎
are these、bugs!?"	
3030104	それしかないんだもの	That's all there is to it	That’s all we have…	
1103030c	『#f8ff水くい虫#fcff』って水を食べるの?	Does “#f8ffwaterbug#fcff” eat water?	"#f8ffWater Eaters#fcff』…?⏎
Could they be some⏸
sort of water-eating⏎
insects?"	
0a810208	そんな虫はいない	There are no such insects	That’s ridiculous	
1030104	……あけてみよう。⏎川の水を食べてくれるかも	...Let's open it. ⏎Maybe they will eat river water	"Let's open it! Maybe⏎
they eat river water"	
0b810208	やれやれ、リーフまで……	"Well, to the leaf..."	Tsk、you too、Lief?	
9810208	虫……というか、⏎とうめいな砂だな、これは	"Insects... or rather, ⏎ and the sand is so delicious."	"Hey、these aren’t⏎
bugs! It’s more like⏸
transparent sand!"	
1203030c	もう、なんでもいいから⏎川に入れてよ!	"Whatever you want, just put it in the river!"	"Whatever it is、put⏎
some in the river!"	
0b810208	……ほらよ	...Here you go	Here goes…	
9810208	すごい……	amazing……	Amazing!	
2030104	急ごう!⏎こうかは 長く続かないらしい	Let's hurry! ⏎It seems like this won't last long	"Cross quickly! We⏎
don’t know how long⏸
this will last!"	
1381030c	なんとか わたりきったわね	I managed to cross it.	Whew、we made it!	
0b030208	ああ。⏎しかし、どっと つかれが……	"ah. ⏎However, she is exhausted..."	"Yeah… now we can⏎
rest…"	
3810104	そうも言ってられないみたい	I can't seem to say that.	Don’t be so sure!	
9030208	なんだあれは!?	What is that!?	What in the world!?	
0b030208	ふう……	Huh...	Whew…	
1810104	つかれたかもしれないけど⏎一気に行こうよ	"I may be tired, but let's go all at once."	"I'm tired too、but⏎
we can’t stop now!"	
1103030c	そうそう	oh yeah	That’s right!	
1810104	あとでゆっくり休もう。⏎宝石を手に入れたらね	Let's get some rest later. ⏎Once you get the gem	"We can rest later。⏎
Let’s find the gem!"	
9030208	わかってるよ	I understand	Yes、you’re right	
1810104	この町は ずいぶん長いあいだ⏎使われていないみたいだね	This town seems to have been unused for quite some time.	"This town looks like⏎
it’s been abandoned⏸
for quite a while"	
9030208	ああ、影の大王のせいで⏎ネズミがふえて 町を捨てたんだろう	"Ah, because of the Great Shadow King, the number of rats increased and they probably abandoned the town."	"Some evil was at⏎
work。The Shadow⏸
Lord must have bred⏎
the rats and driven⏸
the people off"	
3810104	うん、そうだね	"Yeah, that's right"	Right、of course	
1203030c	そうだねじゃないわよ!	"That's right, it's not!"	Oh please!	
1203030c	なんでも影の大王のせいなの?	Is it all the shadow king's fault?	"You cannot blame the⏎
Shadow Lord for⏸
everything!"	
1810104	どういう意味?	What does it mean?	What do you mean?	
1303030c	影の大王が世界を支配したのは⏎たかだか16年前よ⏸この町が捨てられてから⏎もっとたっているでしょ?	"The Great Shadow King ruled the world ⏎at most 16 years ago⏸This town was abandoned⏎longer than that, right?"	"The Shadow Lord has⏎
ruled Deltora for⏸
only 16 years。This⏎
town has clearly⏸
been abandoned for⏎
far longer than that"	
9810208	何が言いたい?	What do you want to say?	"What are you saying、
Jasmine?"	
1203030c	国王は何をしていたの?⏸影の大王がじゃあくを世界に⏎ばらまいているあいだよ	What was the king doing?⏸While the Great Shadow King was scattering ⏎dragons all over the world.	"The kings and⏎
queens of Deltora⏸
betrayed their trust!⏸
They shut themselves⏎
up in the palace at⏸
Del、living in luxury⏎
while the land went⏸
to ruin and evil⏎
prospered!"	
3810104	それは……国王たちは⏎だまされていたんだから……	That's because...the kings were ⏎deceived...	"The kings were…⏎
deceived…"	
